ticker,name,horizon,proj_type,fcf_source,p_method,method_label,used_wacc,per_share_value,current_share_price,upside,average_growth_rate
AAPL,Apple Inc.,5,standard,FCFF,cagr,Historical Cagr,0.09,77.72,214,-63.61,-0.04
AAPL,Apple Inc.,5,standard,FCFF,slope,Regression Slope,0.09,71.08,214,-66.71,-0.03
AAPL,Apple Inc.,5,standard,FCFF,man_inp_growth,Manual Input Growth,0.09,120.0,214,-43.69,0.06
AAPL,Apple Inc.,5,converged,FCFF,cagr,Historical Cagr,0.09,84.34,214,-60.5,-0.01
AAPL,Apple Inc.,5,converged,FCFF,slope,Regression Slope,0.09,51.13,214,-76.05,-0.08
AAPL,Apple Inc.,5,converged,FCFF,man_inp_growth,Manual Input Growth,0.09,115.0,214,-46.13,0.05
AAPL,Apple Inc.,10,standard,FCFF,cagr,Historical Cagr,0.09,64.25,214,-69.91,-0.04
AAPL,Apple Inc.,10,standard,FCFF,slope,Regression Slope,0.09,58.93,214,-72.4,-0.03
AAPL,Apple Inc.,10,standard,FCFF,man_inp_growth,Manual Input Growth,0.09,135.0,214,-36.75,0.06
AAPL,Apple Inc.,10,converged,FCFF,cagr,Historical Cagr,0.09,80.89,214,-62.12,0.0
AAPL,Apple Inc.,10,converged,FCFF,slope,Regression Slope,0.09,45.96,214,-78.48,-0.04
AAPL,Apple Inc.,10,converged,FCFF,man_inp_growth,Manual Input Growth,0.09,118.0,214,-44.79,0.04
