Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,102435000000.0,0.0,,,Historical calendar year
2022,99333000000.0,-0.030282618245716764,,,Historical calendar year
2023,104697000000.0,0.05400018120866168,,,Historical calendar year
2024,91814000000.0,-0.12305032617935563,,,Historical calendar year
2025,107059000000.0,0.1660422157840853,,,Historical ttm
2025,113107833500.0,0.0565,103459961218.322,0.9147019973494763,Projected calendar year
2026,119102548675.5,0.053000000000000005,99650689930.21971,0.8366797439551213,Projected calendar year
2027,124998124834.93726,0.049499999999999995,95662644029.68839,0.765312632937598,Projected calendar year
2028,130748038577.34438,0.046,91527940897.70958,0.7000329939448076,Projected calendar year
2029,136304830216.88152,0.042499999999999996,87278923942.39761,0.6403215777718493,Projected calendar year
,2047001942124.222,0.025,1310739513283.0215,0.6403215777718493,Terminal value
