Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,102435000000.0,0.0,,,Historical calendar year
2022,99333000000.0,-0.030282618245716764,,,Historical calendar year
2023,104697000000.0,0.05400018120866168,,,Historical calendar year
2024,91814000000.0,-0.12305032617935563,,,Historical calendar year
2025,107059000000.0,0.1660422157840853,,,Historical ttm
2025,113482540000.0,0.06,103802706002.29184,0.9147019973494763,Projected calendar year
2026,120291492400.0,0.06,100645455061.21143,0.8366797439551213,Projected calendar year
2027,127508981944.0,0.06,97584234694.75528,0.765312632937598,Projected calendar year
2028,135159520860.64,0.06,94616124048.2195,0.7000329939448076,Projected calendar year
2029,143269092112.2784,0.06,91738291107.27452,0.6403215777718493,Projected calendar year
,2151590001128.8513,0.025,1377709504240.961,0.6403215777718493,Terminal value
