Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,102435000000.0,0.0,,,Historical calendar year
2022,99333000000.0,-0.030282618245716764,,,Historical calendar year
2023,104697000000.0,0.05400018120866168,,,Historical calendar year
2024,91814000000.0,-0.12305032617935563,,,Historical calendar year
2025,107059000000.0,0.1660422157840853,,,Historical ttm
2025,92945000000.0,-0.13183384862552427,85016977143.64708,0.9147019973494763,Projected calendar year
2026,90295100000.0,-0.028510409381892532,75548081148.40208,0.8366797439551213,Projected calendar year
2027,87645200000.0,-0.029347107428863817,67075978776.34236,0.765312632937598,Projected calendar year
2028,84995300000.0,-0.03023439960203178,59499514330.2371,0.7000329939448076,Projected calendar year
2029,82345400000.0,-0.03117701802334949,52727536450.254036,0.6403215777718493,Projected calendar year
,1236648719321.1692,0.025,791852859105.2678,0.6403215777718493,Terminal value
