Year,variable,method,value,parameter_value,growth_rate
2025,Revenue,cagr,409362231625.0,0.02,0.02
2026,Revenue,cagr,418560608745.0,0.02,0.02
2027,Revenue,cagr,427965673574.0,0.02,0.02
2028,Revenue,cagr,437582070389.0,0.02,0.02
2029,Revenue,cagr,447414547822.0,0.02,0.02
2030,Revenue,cagr,457467961211.0,0.02,0.02
2031,Revenue,cagr,467747274989.0,0.02,0.02
2032,Revenue,cagr,478257565143.0,0.02,0.02
2033,Revenue,cagr,489004021716.0,0.02,0.02
2034,Revenue,cagr,499991951372.0,0.02,0.02
2025,Revenue,slope,399769000000.0,6461100000.0,-0.0
2026,Revenue,slope,406230100000.0,6461100000.0,0.02
2027,Revenue,slope,412691200000.0,6461100000.0,0.02
2028,Revenue,slope,419152300000.0,6461100000.0,0.02
2029,Revenue,slope,425613400000.0,6461100000.0,0.02
2030,Revenue,slope,432074500000.0,6461100000.0,0.02
2031,Revenue,slope,438535600000.0,6461100000.0,0.01
2032,Revenue,slope,444996700000.0,6461100000.0,0.01
2033,Revenue,slope,451457800000.0,6461100000.0,0.01
2034,Revenue,slope,457918900000.0,6461100000.0,0.01
2025,Revenue,man_inp_growth,424387960000.0,0.06,0.06
2026,Revenue,man_inp_growth,449851237600.0,0.06,0.06
2027,Revenue,man_inp_growth,476842311856.0,0.06,0.06
2028,Revenue,man_inp_growth,505452850567.0,0.06,0.06
2029,Revenue,man_inp_growth,535780021601.0,0.06,0.06
2030,Revenue,man_inp_growth,567926822897.0,0.06,0.06
2031,Revenue,man_inp_growth,602002432271.0,0.06,0.06
2032,Revenue,man_inp_growth,638122578208.0,0.06,0.06
2033,Revenue,man_inp_growth,676409932900.0,0.06,0.06
2034,Revenue,man_inp_growth,716994528874.0,0.06,0.06
2025,EBITDA,cagr,143069872610.0,0.03,0.03
2026,EBITDA,cagr,147401008517.0,0.03,0.03
2027,EBITDA,cagr,151863260346.0,0.03,0.03
2028,EBITDA,cagr,156460597353.0,0.03,0.03
2029,EBITDA,cagr,161197108952.0,0.03,0.03
2030,EBITDA,cagr,166077008361.0,0.03,0.03
2031,EBITDA,cagr,171104636338.0,0.03,0.03
2032,EBITDA,cagr,176284465052.0,0.03,0.03
2033,EBITDA,cagr,181621102057.0,0.03,0.03
2034,EBITDA,cagr,187119294389.0,0.03,0.03
2025,EBITDA,slope,136003000000.0,2985400000.0,-0.02
2026,EBITDA,slope,138988400000.0,2985400000.0,0.02
2027,EBITDA,slope,141973800000.0,2985400000.0,0.02
2028,EBITDA,slope,144959200000.0,2985400000.0,0.02
2029,EBITDA,slope,147944600000.0,2985400000.0,0.02
2030,EBITDA,slope,150930000000.0,2985400000.0,0.02
2031,EBITDA,slope,153915400000.0,2985400000.0,0.02
2032,EBITDA,slope,156900800000.0,2985400000.0,0.02
2033,EBITDA,slope,159886200000.0,2985400000.0,0.02
2034,EBITDA,slope,162871600000.0,2985400000.0,0.02
2025,EBITDA,man_inp_growth,147197960000.0,0.06,0.06
2026,EBITDA,man_inp_growth,156029837600.0,0.06,0.06
2027,EBITDA,man_inp_growth,165391627856.0,0.06,0.06
2028,EBITDA,man_inp_growth,175315125527.0,0.06,0.06
2029,EBITDA,man_inp_growth,185834033059.0,0.06,0.06
2030,EBITDA,man_inp_growth,196984075043.0,0.06,0.06
2031,EBITDA,man_inp_growth,208803119545.0,0.06,0.06
2032,EBITDA,man_inp_growth,221331306718.0,0.06,0.06
2033,EBITDA,man_inp_growth,234611185121.0,0.06,0.06
2034,EBITDA,man_inp_growth,248687856228.0,0.06,0.06
2025,EBIT,cagr,131538981280.0,0.03,0.03
2026,EBIT,cagr,135850818098.0,0.03,0.03
2027,EBIT,cagr,140303996567.0,0.03,0.03
2028,EBIT,cagr,144903149854.0,0.03,0.03
2029,EBIT,cagr,149653063001.0,0.03,0.03
2030,EBIT,cagr,154558677905.0,0.03,0.03
2031,EBIT,cagr,159625098455.0,0.03,0.03
2032,EBIT,cagr,164857595848.0,0.03,0.03
2033,EBIT,cagr,170261614068.0,0.03,0.03
2034,EBIT,cagr,175842775554.0,0.03,0.03
