Year,FCFF,growth_rate,PV,Discount Factor,Type,EBIT,reinvest
2021,,0.0,,,Historical calendar year,,
2022,3357000000.0,0.0,,,Historical calendar year,,
2023,11451000000.0,2.4110813226094727,,,Historical calendar year,,
2024,11451000000.0,0.0,,,Historical calendar year,,
2025,11451000000.0,0.0,,,Historical ttm,,
2025,9187529317.039108,0.03,8667480487.772743,0.9433962264150942,Projected calendar year,11769810000.0,246467784.192494
2026,9463155196.550282,0.03,8422174436.232004,0.8899964400142398,Projected calendar year,12122904300.0,253861817.71826693
2027,9747049852.44679,0.03,8183811008.791477,0.8396192830323018,Projected calendar year,12486591429.0,261477672.24981588
2028,10039461348.020193,0.03,7952193716.089829,0.7920936632380204,Projected calendar year,12861189171.87,269322002.4173101
2029,10340645188.4608,0.03,7727131629.785401,0.747258172866057,Projected calendar year,13247024847.026102,277401662.48983055
2030,10650864544.114624,0.03,7508439225.168833,0.7049605404396764,Projected calendar year,13644435592.436886,285723712.36452585
2031,10970390480.438065,0.03,7295936228.230092,0.6650571136223361,Projected calendar year,14053768660.209993,294295423.73545974
2032,11299502194.851208,0.03,7089447467.053769,0.6274123713418265,Projected calendar year,14475381720.016294,303124286.44752586
2033,11638487260.696745,0.03,6888802727.420173,0.591898463530025,Projected calendar year,14909643171.616783,312218015.04094887
2034,11987641878.517647,0.03,6693836612.493186,0.5583947769151179,Projected calendar year,15356932466.765287,321584555.4921783
,351066655013.7311,0.025,196033786508.729,0.5583947769151179,Terminal value,,
