Year,variable,method,value,parameter_value,growth_rate
2025,FCFF,cagr,13168650000.0,0.15,0.15
2026,FCFF,cagr,15143947500.0,0.15,0.15
2027,FCFF,cagr,17415539625.0,0.15,0.15
2028,FCFF,cagr,20027870569.0,0.15,0.15
2029,FCFF,cagr,23032051154.0,0.15,0.15
2030,FCFF,cagr,26486858827.0,0.15,0.15
2031,FCFF,cagr,30459887651.0,0.15,0.15
2032,FCFF,cagr,35028870799.0,0.15,0.15
2033,FCFF,cagr,40283201419.0,0.15,0.15
2034,FCFF,cagr,46325681632.0,0.15,0.15
2025,FCFF,slope,16847000000.0,4047000000.0,0.47
2026,FCFF,slope,20894000000.0,4047000000.0,0.24
2027,FCFF,slope,24941000000.0,4047000000.0,0.19
2028,FCFF,slope,28988000000.0,4047000000.0,0.16
2029,FCFF,slope,33035000000.0,4047000000.0,0.14
2030,FCFF,slope,37082000000.0,4047000000.0,0.12
2031,FCFF,slope,41129000000.0,4047000000.0,0.11
2032,FCFF,slope,45176000000.0,4047000000.0,0.1
2033,FCFF,slope,49223000000.0,4047000000.0,0.09
2034,FCFF,slope,53270000000.0,4047000000.0,0.08
2025,FCFF,man_inp_growth,11794530000.0,0.03,0.03
2026,FCFF,man_inp_growth,12148365900.0,0.03,0.03
2027,FCFF,man_inp_growth,12512816877.0,0.03,0.03
2028,FCFF,man_inp_growth,12888201383.0,0.03,0.03
2029,FCFF,man_inp_growth,13274847425.0,0.03,0.03
2030,FCFF,man_inp_growth,13673092848.0,0.03,0.03
2031,FCFF,man_inp_growth,14083285633.0,0.03,0.03
2032,FCFF,man_inp_growth,14505784202.0,0.03,0.03
2033,FCFF,man_inp_growth,14940957728.0,0.03,0.03
2034,FCFF,man_inp_growth,15389186460.0,0.03,0.03
2025,FCF,cagr,5707802940.0,-0.09,-0.09
2026,FCF,cagr,5186089526.0,-0.09,-0.09
2027,FCF,cagr,4712062567.0,-0.09,-0.09
2028,FCF,cagr,4281363352.0,-0.09,-0.09
2029,FCF,cagr,3890031571.0,-0.09,-0.09
2030,FCF,cagr,3534468901.0,-0.09,-0.09
2031,FCF,cagr,3211405919.0,-0.09,-0.09
2032,FCF,cagr,2917872039.0,-0.09,-0.09
2033,FCF,cagr,2651168195.0,-0.09,-0.09
2034,FCF,cagr,2408842028.0,-0.09,-0.09
2025,FCF,slope,5776500000.0,-784600000.0,-0.08
2026,FCF,slope,4991900000.0,-784600000.0,-0.14
2027,FCF,slope,4207300000.0,-784600000.0,-0.16
2028,FCF,slope,3422700000.0,-784600000.0,-0.19
2029,FCF,slope,2638100000.0,-784600000.0,-0.23
2030,FCF,slope,1853500000.0,-784600000.0,-0.3
2031,FCF,slope,1068900000.0,-784600000.0,-0.42
2032,FCF,slope,284300000.0,-784600000.0,-0.73
2033,FCF,slope,-500300000.0,-784600000.0,-2.76
2034,FCF,slope,-1284900000.0,-784600000.0,1.57
2025,FCF,man_inp_growth,6470460000.0,0.03,0.03
2026,FCF,man_inp_growth,6664573800.0,0.03,0.03
2027,FCF,man_inp_growth,6864511014.0,0.03,0.03
2028,FCF,man_inp_growth,7070446344.0,0.03,0.03
2029,FCF,man_inp_growth,7282559735.0,0.03,0.03
2030,FCF,man_inp_growth,7501036527.0,0.03,0.03
2031,FCF,man_inp_growth,7726067623.0,0.03,0.03
2032,FCF,man_inp_growth,7957849651.0,0.03,0.03
2033,FCF,man_inp_growth,8196585141.0,0.03,0.03
2034,FCF,man_inp_growth,8442482695.0,0.03,0.03
2025,EBIT,cagr,11540553328.0,0.01,0.01
2026,EBIT,cagr,11655235068.0,0.01,0.01
2027,EBIT,cagr,11771056432.0,0.01,0.01
2028,EBIT,cagr,11888028746.0,0.01,0.01
2029,EBIT,cagr,12006163447.0,0.01,0.01
2030,EBIT,cagr,12125472086.0,0.01,0.01
2031,EBIT,cagr,12245966328.0,0.01,0.01
2032,EBIT,cagr,12367657956.0,0.01,0.01
2033,EBIT,cagr,12490558868.0,0.01,0.01
2034,EBIT,cagr,12614681081.0,0.01,0.01
2025,EBIT,slope,11353000000.0,128800000.0,-0.01
2026,EBIT,slope,11481800000.0,128800000.0,0.01
2027,EBIT,slope,11610600000.0,128800000.0,0.01
2028,EBIT,slope,11739400000.0,128800000.0,0.01
2029,EBIT,slope,11868200000.0,128800000.0,0.01
2030,EBIT,slope,11997000000.0,128800000.0,0.01
2031,EBIT,slope,12125800000.0,128800000.0,0.01
2032,EBIT,slope,12254600000.0,128800000.0,0.01
2033,EBIT,slope,12383400000.0,128800000.0,0.01
2034,EBIT,slope,12512200000.0,128800000.0,0.01
2025,EBIT,man_inp_growth,11769810000.0,0.03,0.03
2026,EBIT,man_inp_growth,12122904300.0,0.03,0.03
2027,EBIT,man_inp_growth,12486591429.0,0.03,0.03
2028,EBIT,man_inp_growth,12861189172.0,0.03,0.03
2029,EBIT,man_inp_growth,13247024847.0,0.03,0.03
2030,EBIT,man_inp_growth,13644435592.0,0.03,0.03
2031,EBIT,man_inp_growth,14053768660.0,0.03,0.03
2032,EBIT,man_inp_growth,14475381720.0,0.03,0.03
2033,EBIT,man_inp_growth,14909643172.0,0.03,0.03
2034,EBIT,man_inp_growth,15356932467.0,0.03,0.03
2025,CapEx,cagr,5473827784.0,0.09,0.09
2026,CapEx,cagr,5956817219.0,0.09,0.09
2027,CapEx,cagr,6482423777.0,0.09,0.09
2028,CapEx,cagr,7054407828.0,0.09,0.09
2029,CapEx,cagr,7676861545.0,0.09,0.09
2030,CapEx,cagr,8354238175.0,0.09,0.09
2031,CapEx,cagr,9091383904.0,0.09,0.09
2032,CapEx,cagr,9893572527.0,0.09,0.09
2033,CapEx,cagr,10766543177.0,0.09,0.09
2034,CapEx,cagr,11716541388.0,0.09,0.09
2025,CapEx,slope,5200000000.0,360600000.0,0.03
2026,CapEx,slope,5560600000.0,360600000.0,0.07
2027,CapEx,slope,5921200000.0,360600000.0,0.06
2028,CapEx,slope,6281800000.0,360600000.0,0.06
2029,CapEx,slope,6642400000.0,360600000.0,0.06
2030,CapEx,slope,7003000000.0,360600000.0,0.05
2031,CapEx,slope,7363600000.0,360600000.0,0.05
2032,CapEx,slope,7724200000.0,360600000.0,0.05
2033,CapEx,slope,8084800000.0,360600000.0,0.05
2034,CapEx,slope,8445400000.0,360600000.0,0.04
2025,CapEx,man_inp_growth,5180900000.0,0.03,0.03
2026,CapEx,man_inp_growth,5336327000.0,0.03,0.03
2027,CapEx,man_inp_growth,5496416810.0,0.03,0.03
2028,CapEx,man_inp_growth,5661309314.0,0.03,0.03
2029,CapEx,man_inp_growth,5831148594.0,0.03,0.03
2030,CapEx,man_inp_growth,6006083052.0,0.03,0.03
2031,CapEx,man_inp_growth,6186265543.0,0.03,0.03
2032,CapEx,man_inp_growth,6371853509.0,0.03,0.03
2033,CapEx,man_inp_growth,6563009115.0,0.03,0.03
2034,CapEx,man_inp_growth,6759899388.0,0.03,0.03
2025,Depreciation And Amortization,cagr,4414907395.0,0.01,0.01
2026,Depreciation And Amortization,cagr,4460276272.0,0.01,0.01
2027,Depreciation And Amortization,cagr,4506111373.0,0.01,0.01
2028,Depreciation And Amortization,cagr,4552417489.0,0.01,0.01
2029,Depreciation And Amortization,cagr,4599199460.0,0.01,0.01
2030,Depreciation And Amortization,cagr,4646462176.0,0.01,0.01
2031,Depreciation And Amortization,cagr,4694210577.0,0.01,0.01
2032,Depreciation And Amortization,cagr,4742449655.0,0.01,0.01
2033,Depreciation And Amortization,cagr,4791184452.0,0.01,0.01
2034,Depreciation And Amortization,cagr,4840420062.0,0.01,0.01
2025,Depreciation And Amortization,slope,4288000000.0,28300000.0,-0.02
2026,Depreciation And Amortization,slope,4316300000.0,28300000.0,0.01
2027,Depreciation And Amortization,slope,4344600000.0,28300000.0,0.01
2028,Depreciation And Amortization,slope,4372900000.0,28300000.0,0.01
2029,Depreciation And Amortization,slope,4401200000.0,28300000.0,0.01
2030,Depreciation And Amortization,slope,4429500000.0,28300000.0,0.01
2031,Depreciation And Amortization,slope,4457800000.0,28300000.0,0.01
2032,Depreciation And Amortization,slope,4486100000.0,28300000.0,0.01
2033,Depreciation And Amortization,slope,4514400000.0,28300000.0,0.01
2034,Depreciation And Amortization,slope,4542700000.0,28300000.0,0.01
2025,Depreciation And Amortization,man_inp_growth,4501100000.0,0.03,0.03
2026,Depreciation And Amortization,man_inp_growth,4636133000.0,0.03,0.03
2027,Depreciation And Amortization,man_inp_growth,4775216990.0,0.03,0.03
2028,Depreciation And Amortization,man_inp_growth,4918473500.0,0.03,0.03
2029,Depreciation And Amortization,man_inp_growth,5066027705.0,0.03,0.03
2030,Depreciation And Amortization,man_inp_growth,5218008536.0,0.03,0.03
2031,Depreciation And Amortization,man_inp_growth,5374548792.0,0.03,0.03
2032,Depreciation And Amortization,man_inp_growth,5535785256.0,0.03,0.03
2033,Depreciation And Amortization,man_inp_growth,5701858813.0,0.03,0.03
2034,Depreciation And Amortization,man_inp_growth,5872914578.0,0.03,0.03
2025,Delta WC,cagr,,,
2026,Delta WC,cagr,,,
2027,Delta WC,cagr,,,
2028,Delta WC,cagr,,,
2029,Delta WC,cagr,,,
2030,Delta WC,cagr,,,
2031,Delta WC,cagr,,,
2032,Delta WC,cagr,,,
2033,Delta WC,cagr,,,
2034,Delta WC,cagr,,,
2025,Delta WC,slope,-8194666667.0,-4179500000.0,2.07
2026,Delta WC,slope,-12374166667.0,-4179500000.0,0.51
2027,Delta WC,slope,-16553666667.0,-4179500000.0,0.34
2028,Delta WC,slope,-20733166667.0,-4179500000.0,0.25
2029,Delta WC,slope,-24912666667.0,-4179500000.0,0.2
2030,Delta WC,slope,-29092166667.0,-4179500000.0,0.17
2031,Delta WC,slope,-33271666667.0,-4179500000.0,0.14
2032,Delta WC,slope,-37451166667.0,-4179500000.0,0.13
2033,Delta WC,slope,-41630666667.0,-4179500000.0,0.11
2034,Delta WC,slope,-45810166667.0,-4179500000.0,0.1
2025,Delta WC,man_inp_growth,-2745980000.0,0.03,0.03
2026,Delta WC,man_inp_growth,-2828359400.0,0.03,0.03
2027,Delta WC,man_inp_growth,-2913210182.0,0.03,0.03
2028,Delta WC,man_inp_growth,-3000606487.0,0.03,0.03
2029,Delta WC,man_inp_growth,-3090624682.0,0.03,0.03
2030,Delta WC,man_inp_growth,-3183343423.0,0.03,0.03
2031,Delta WC,man_inp_growth,-3278843725.0,0.03,0.03
2032,Delta WC,man_inp_growth,-3377209037.0,0.03,0.03
2033,Delta WC,man_inp_growth,-3478525308.0,0.03,0.03
2034,Delta WC,man_inp_growth,-3582881067.0,0.03,0.03
2025,Tax Provision,cagr,1927774808.0,-0.03,-0.03
2026,Tax Provision,cagr,1875033153.0,-0.03,-0.03
2027,Tax Provision,cagr,1823734448.0,-0.03,-0.03
2028,Tax Provision,cagr,1773839215.0,-0.03,-0.03
2029,Tax Provision,cagr,1725309057.0,-0.03,-0.03
2030,Tax Provision,cagr,1678106627.0,-0.03,-0.03
2031,Tax Provision,cagr,1632195601.0,-0.03,-0.03
2032,Tax Provision,cagr,1587540646.0,-0.03,-0.03
2033,Tax Provision,cagr,1544107398.0,-0.03,-0.03
2034,Tax Provision,cagr,1501862433.0,-0.03,-0.03
2025,Tax Provision,slope,1834500000.0,-43500000.0,-0.07
2026,Tax Provision,slope,1791000000.0,-43500000.0,-0.02
2027,Tax Provision,slope,1747500000.0,-43500000.0,-0.02
2028,Tax Provision,slope,1704000000.0,-43500000.0,-0.02
2029,Tax Provision,slope,1660500000.0,-43500000.0,-0.03
2030,Tax Provision,slope,1617000000.0,-43500000.0,-0.03
2031,Tax Provision,slope,1573500000.0,-43500000.0,-0.03
2032,Tax Provision,slope,1530000000.0,-43500000.0,-0.03
2033,Tax Provision,slope,1486500000.0,-43500000.0,-0.03
2034,Tax Provision,slope,1443000000.0,-43500000.0,-0.03
2025,Tax Provision,man_inp_growth,2041460000.0,0.03,0.03
2026,Tax Provision,man_inp_growth,2102703800.0,0.03,0.03
2027,Tax Provision,man_inp_growth,2165784914.0,0.03,0.03
2028,Tax Provision,man_inp_growth,2230758461.0,0.03,0.03
2029,Tax Provision,man_inp_growth,2297681215.0,0.03,0.03
2030,Tax Provision,man_inp_growth,2366611652.0,0.03,0.03
2031,Tax Provision,man_inp_growth,2437610001.0,0.03,0.03
2032,Tax Provision,man_inp_growth,2510738301.0,0.03,0.03
2033,Tax Provision,man_inp_growth,2586060450.0,0.03,0.03
2034,Tax Provision,man_inp_growth,2663642264.0,0.03,0.03
2025,Revenue,cagr,80763601276.0,0.08,0.08
2026,Revenue,cagr,86957370132.0,0.08,0.08
2027,Revenue,cagr,93626139757.0,0.08,0.08
2028,Revenue,cagr,100806338008.0,0.08,0.08
2029,Revenue,cagr,108537186399.0,0.08,0.08
2030,Revenue,cagr,116860914344.0,0.08,0.08
2031,Revenue,cagr,125822989839.0,0.08,0.08
2032,Revenue,cagr,135472367821.0,0.08,0.08
2033,Revenue,cagr,145861757590.0,0.08,0.08
2034,Revenue,cagr,157047910724.0,0.08,0.08
2025,Revenue,slope,81755000000.0,4806200000.0,0.09
2026,Revenue,slope,86561200000.0,4806200000.0,0.06
2027,Revenue,slope,91367400000.0,4806200000.0,0.06
2028,Revenue,slope,96173600000.0,4806200000.0,0.05
2029,Revenue,slope,100979800000.0,4806200000.0,0.05
2030,Revenue,slope,105786000000.0,4806200000.0,0.05
2031,Revenue,slope,110592200000.0,4806200000.0,0.05
2032,Revenue,slope,115398400000.0,4806200000.0,0.04
2033,Revenue,slope,120204600000.0,4806200000.0,0.04
2034,Revenue,slope,125010800000.0,4806200000.0,0.04
2025,Revenue,man_inp_growth,77261330000.0,0.03,0.03
2026,Revenue,man_inp_growth,79579169900.0,0.03,0.03
2027,Revenue,man_inp_growth,81966544997.0,0.03,0.03
2028,Revenue,man_inp_growth,84425541347.0,0.03,0.03
2029,Revenue,man_inp_growth,86958307587.0,0.03,0.03
2030,Revenue,man_inp_growth,89567056815.0,0.03,0.03
2031,Revenue,man_inp_growth,92254068519.0,0.03,0.03
2032,Revenue,man_inp_growth,95021690575.0,0.03,0.03
2033,Revenue,man_inp_growth,97872341292.0,0.03,0.03
2034,Revenue,man_inp_growth,100808511531.0,0.03,0.03
2025,EBITDA,cagr,15955460004.0,0.01,0.01
2026,EBITDA,cagr,16115509524.0,0.01,0.01
2027,EBITDA,cagr,16277164503.0,0.01,0.01
2028,EBITDA,cagr,16440441047.0,0.01,0.01
2029,EBITDA,cagr,16605355420.0,0.01,0.01
2030,EBITDA,cagr,16771924053.0,0.01,0.01
2031,EBITDA,cagr,16940163539.0,0.01,0.01
2032,EBITDA,cagr,17110090638.0,0.01,0.01
2033,EBITDA,cagr,17281722280.0,0.01,0.01
2034,EBITDA,cagr,17455075561.0,0.01,0.01
2025,EBITDA,slope,15641000000.0,157100000.0,-0.01
2026,EBITDA,slope,15798100000.0,157100000.0,0.01
2027,EBITDA,slope,15955200000.0,157100000.0,0.01
2028,EBITDA,slope,16112300000.0,157100000.0,0.01
2029,EBITDA,slope,16269400000.0,157100000.0,0.01
2030,EBITDA,slope,16426500000.0,157100000.0,0.01
2031,EBITDA,slope,16583600000.0,157100000.0,0.01
2032,EBITDA,slope,16740700000.0,157100000.0,0.01
2033,EBITDA,slope,16897800000.0,157100000.0,0.01
2034,EBITDA,slope,17054900000.0,157100000.0,0.01
2025,EBITDA,man_inp_growth,16270910000.0,0.03,0.03
2026,EBITDA,man_inp_growth,16759037300.0,0.03,0.03
2027,EBITDA,man_inp_growth,17261808419.0,0.03,0.03
2028,EBITDA,man_inp_growth,17779662672.0,0.03,0.03
2029,EBITDA,man_inp_growth,18313052552.0,0.03,0.03
2030,EBITDA,man_inp_growth,18862444128.0,0.03,0.03
2031,EBITDA,man_inp_growth,19428317452.0,0.03,0.03
2032,EBITDA,man_inp_growth,20011166976.0,0.03,0.03
2033,EBITDA,man_inp_growth,20611501985.0,0.03,0.03
2034,EBITDA,man_inp_growth,21229847044.0,0.03,0.03
2025,Net Income,cagr,10029057557.0,0.1,0.1
2026,Net Income,cagr,11033566858.0,0.1,0.1
2027,Net Income,cagr,12138687701.0,0.1,0.1
2028,Net Income,cagr,13354497325.0,0.1,0.1
2029,Net Income,cagr,14692082308.0,0.1,0.1
2030,Net Income,cagr,16163639655.0,0.1,0.1
2031,Net Income,cagr,17782588025.0,0.1,0.1
2032,Net Income,cagr,19563690085.0,0.1,0.1
2033,Net Income,cagr,21523187131.0,0.1,0.1
2034,Net Income,cagr,23678947186.0,0.1,0.1
2025,Net Income,slope,-14701000000.0,-3291500000.0,-2.61
2026,Net Income,slope,-17992500000.0,-3291500000.0,0.22
2027,Net Income,slope,-21284000000.0,-3291500000.0,0.18
2028,Net Income,slope,-24575500000.0,-3291500000.0,0.15
2029,Net Income,slope,-27867000000.0,-3291500000.0,0.13
2030,Net Income,slope,-31158500000.0,-3291500000.0,0.12
2031,Net Income,slope,-34450000000.0,-3291500000.0,0.11
2032,Net Income,slope,-37741500000.0,-3291500000.0,0.1
2033,Net Income,slope,-41033000000.0,-3291500000.0,0.09
2034,Net Income,slope,-44324500000.0,-3291500000.0,0.08
2025,Net Income,man_inp_growth,9389480000.0,0.03,0.03
2026,Net Income,man_inp_growth,9671164400.0,0.03,0.03
2027,Net Income,man_inp_growth,9961299332.0,0.03,0.03
2028,Net Income,man_inp_growth,10260138312.0,0.03,0.03
2029,Net Income,man_inp_growth,10567942461.0,0.03,0.03
2030,Net Income,man_inp_growth,10884980735.0,0.03,0.03
2031,Net Income,man_inp_growth,11211530157.0,0.03,0.03
2032,Net Income,man_inp_growth,11547876062.0,0.03,0.03
2033,Net Income,man_inp_growth,11894312344.0,0.03,0.03
2034,Net Income,man_inp_growth,12251141714.0,0.03,0.03
2025,Total Debt,cagr,41824569328.0,0.1,0.1
2026,Total Debt,cagr,45865091754.0,0.1,0.1
2027,Total Debt,cagr,50295954637.0,0.1,0.1
2028,Total Debt,cagr,55154867374.0,0.1,0.1
2029,Total Debt,cagr,60483182336.0,0.1,0.1
2030,Total Debt,cagr,66326246796.0,0.1,0.1
2031,Total Debt,cagr,72733788868.0,0.1,0.1
2032,Total Debt,cagr,79760340719.0,0.1,0.1
2033,Total Debt,cagr,87465702676.0,0.1,0.1
2034,Total Debt,cagr,95915452162.0,0.1,0.1
2025,Total Debt,slope,43229500000.0,3810900000.0,0.13
2026,Total Debt,slope,47040400000.0,3810900000.0,0.09
2027,Total Debt,slope,50851300000.0,3810900000.0,0.08
2028,Total Debt,slope,54662200000.0,3810900000.0,0.07
2029,Total Debt,slope,58473100000.0,3810900000.0,0.07
2030,Total Debt,slope,62284000000.0,3810900000.0,0.07
2031,Total Debt,slope,66094900000.0,3810900000.0,0.06
2032,Total Debt,slope,69905800000.0,3810900000.0,0.06
2033,Total Debt,slope,73716700000.0,3810900000.0,0.05
2034,Total Debt,slope,77527600000.0,3810900000.0,0.05
2025,Total Debt,man_inp_growth,39284200000.0,0.03,0.03
2026,Total Debt,man_inp_growth,40462726000.0,0.03,0.03
2027,Total Debt,man_inp_growth,41676607780.0,0.03,0.03
2028,Total Debt,man_inp_growth,42926906013.0,0.03,0.03
2029,Total Debt,man_inp_growth,44214713194.0,0.03,0.03
2030,Total Debt,man_inp_growth,45541154590.0,0.03,0.03
2031,Total Debt,man_inp_growth,46907389227.0,0.03,0.03
2032,Total Debt,man_inp_growth,48314610904.0,0.03,0.03
2033,Total Debt,man_inp_growth,49764049231.0,0.03,0.03
2034,Total Debt,man_inp_growth,51256970708.0,0.03,0.03
2025,Cash,cagr,12860267281.0,0.11,0.11
2026,Cash,cagr,14329100202.0,0.11,0.11
2027,Cash,cagr,15965695590.0,0.11,0.11
2028,Cash,cagr,17789214400.0,0.11,0.11
2029,Cash,cagr,19821006056.0,0.11,0.11
2030,Cash,cagr,22084858401.0,0.11,0.11
2031,Cash,cagr,24607276199.0,0.11,0.11
2032,Cash,cagr,27417791455.0,0.11,0.11
2033,Cash,cagr,30549309164.0,0.11,0.11
2034,Cash,cagr,34038492557.0,0.11,0.11
2025,Cash,slope,14061000000.0,1481300000.0,0.22
2026,Cash,slope,15542300000.0,1481300000.0,0.11
2027,Cash,slope,17023600000.0,1481300000.0,0.1
2028,Cash,slope,18504900000.0,1481300000.0,0.09
2029,Cash,slope,19986200000.0,1481300000.0,0.08
2030,Cash,slope,21467500000.0,1481300000.0,0.07
2031,Cash,slope,22948800000.0,1481300000.0,0.07
2032,Cash,slope,24430100000.0,1481300000.0,0.06
2033,Cash,slope,25911400000.0,1481300000.0,0.06
2034,Cash,slope,27392700000.0,1481300000.0,0.06
2025,Cash,man_inp_growth,11888260000.0,0.03,0.03
2026,Cash,man_inp_growth,12244907800.0,0.03,0.03
2027,Cash,man_inp_growth,12612255034.0,0.03,0.03
2028,Cash,man_inp_growth,12990622685.0,0.03,0.03
2029,Cash,man_inp_growth,13380341366.0,0.03,0.03
2030,Cash,man_inp_growth,13781751607.0,0.03,0.03
2031,Cash,man_inp_growth,14195204155.0,0.03,0.03
2032,Cash,man_inp_growth,14621060279.0,0.03,0.03
2033,Cash,man_inp_growth,15059692088.0,0.03,0.03
2034,Cash,man_inp_growth,15511482850.0,0.03,0.03
2025,Operating Cash Flow,cagr,11007194794.0,-0.03,-0.03
2026,Operating Cash Flow,cagr,10710602656.0,-0.03,-0.03
2027,Operating Cash Flow,cagr,10422002281.0,-0.03,-0.03
2028,Operating Cash Flow,cagr,10141178328.0,-0.03,-0.03
2029,Operating Cash Flow,cagr,9867921261.0,-0.03,-0.03
2030,Operating Cash Flow,cagr,9602027187.0,-0.03,-0.03
2031,Operating Cash Flow,cagr,9343297707.0,-0.03,-0.03
2032,Operating Cash Flow,cagr,9091539771.0,-0.03,-0.03
2033,Operating Cash Flow,cagr,8846565527.0,-0.03,-0.03
2034,Operating Cash Flow,cagr,8608192186.0,-0.03,-0.03
2025,Operating Cash Flow,slope,10976500000.0,-424000000.0,-0.03
2026,Operating Cash Flow,slope,10552500000.0,-424000000.0,-0.04
2027,Operating Cash Flow,slope,10128500000.0,-424000000.0,-0.04
2028,Operating Cash Flow,slope,9704500000.0,-424000000.0,-0.04
2029,Operating Cash Flow,slope,9280500000.0,-424000000.0,-0.04
2030,Operating Cash Flow,slope,8856500000.0,-424000000.0,-0.05
2031,Operating Cash Flow,slope,8432500000.0,-424000000.0,-0.05
2032,Operating Cash Flow,slope,8008500000.0,-424000000.0,-0.05
2033,Operating Cash Flow,slope,7584500000.0,-424000000.0,-0.05
2034,Operating Cash Flow,slope,7160500000.0,-424000000.0,-0.06
2025,Operating Cash Flow,man_inp_growth,11651360000.0,0.03,0.03
2026,Operating Cash Flow,man_inp_growth,12000900800.0,0.03,0.03
2027,Operating Cash Flow,man_inp_growth,12360927824.0,0.03,0.03
2028,Operating Cash Flow,man_inp_growth,12731755659.0,0.03,0.03
2029,Operating Cash Flow,man_inp_growth,13113708328.0,0.03,0.03
2030,Operating Cash Flow,man_inp_growth,13507119578.0,0.03,0.03
2031,Operating Cash Flow,man_inp_growth,13912333166.0,0.03,0.03
2032,Operating Cash Flow,man_inp_growth,14329703161.0,0.03,0.03
2033,Operating Cash Flow,man_inp_growth,14759594255.0,0.03,0.03
2034,Operating Cash Flow,man_inp_growth,15202382083.0,0.03,0.03
2025,Net Debt,cagr,26541842363.0,0.08,0.08
2026,Net Debt,cagr,28783223535.0,0.08,0.08
2027,Net Debt,cagr,31213882810.0,0.08,0.08
2028,Net Debt,cagr,33849804170.0,0.08,0.08
