ticker,name,upside,horizon,proj_type,fcf_source,p_method,method_label,used_wacc,enterprise_value,terminal_value,npv,net_debt,per_share_value,current_share_price,n_shares,average_growth_rate
COLO-B.CO,Coloplast A/S,-142.0302,5,standard,FCFF,cagr,Historical Cagr,0.06,-29907,-41122,-29907,22509,-252.7699,601.4,207367008,0.1012
COLO-B.CO,Coloplast A/S,-72.4343,5,standard,FCFF,slope,Regression Slope,0.06,56886,62453,56886,22509,165.7803,601.4,207367008,0.0647
COLO-B.CO,Coloplast A/S,-76.2616,5,standard,FCFF,man_inp_growth,Manual Input Growth,0.06,52113,55436,52113,22509,142.763,601.4,207367008,0.0625
COLO-B.CO,Coloplast A/S,-76.7615,5,converged,FCFF,cagr,Historical Cagr,0.06,51489,58984,51489,22509,139.7564,601.4,207367008,0.0783
COLO-B.CO,Coloplast A/S,-48.3592,5,converged,FCFF,slope,Regression Slope,0.06,86910,96330,86910,22509,310.5676,601.4,207367008,0.0476
COLO-B.CO,Coloplast A/S,-50.3122,5,converged,FCFF,man_inp_growth,Manual Input Growth,0.06,84474,95033,84474,22509,298.8223,601.4,207367008,0.0513
COLO-B.CO,Coloplast A/S,-147.7422,10,standard,FCFF,cagr,Historical Cagr,0.06,-37030,-71315,-37030,22509,-287.1214,601.4,207367008,0.1081
COLO-B.CO,Coloplast A/S,-40.4709,10,standard,FCFF,slope,Regression Slope,0.06,96748,127425,96748,22509,358.0082,601.4,207367008,0.0608
COLO-B.CO,Coloplast A/S,-65.0033,10,standard,FCFF,man_inp_growth,Manual Input Growth,0.06,66153,77752,66153,22509,210.4703,601.4,207367008,0.0659
COLO-B.CO,Coloplast A/S,-6.1415,10,converged,FCFF,cagr,Historical Cagr,0.06,139560,201096,139560,22509,564.4651,601.4,207367008,0.0624
COLO-B.CO,Coloplast A/S,-22.0718,10,converged,FCFF,slope,Regression Slope,0.06,119693,156616,119693,22509,468.6605,601.4,207367008,0.0409
COLO-B.CO,Coloplast A/S,-18.7092,10,converged,FCFF,man_inp_growth,Manual Input Growth,0.06,123887,165380,123887,22509,488.8828,601.4,207367008,0.0434
