Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,19426,0.0,0.3221,6258,0.2259,4844,1.849,,10506,0.4611,,,,Historical calendar year
2022,22579,0.1623,0.279,6299,0.2319,4838,0.8493,3713,26586,0.182,3877,,,Historical calendar year
2023,24500,0.0851,0.272,6663,0.2061,5289,0.6814,2819,35955,0.1471,12927,,,Historical calendar year
2024,27030,0.1033,0.266,7190,0.21,5680,0.6794,3724,39783,0.1428,-990,,,Historical calendar year
2025,27794,0.0283,0.2634,7321,0.3003,5123,0.6867,1113,40477,0.1266,-1370,,,Historical ttm
2025,29615,0.0655,0.2567,7603,0.22,5930,0.6493,2804,43281,0.137,3126,0.9434,2949,Projected calendar year
2026,31421,0.061,0.25,7857,0.22,6128,0.612,2952,46232,0.1325,3176,0.89,2827,Projected calendar year
2027,33196,0.0565,0.2434,8079,0.22,6301,0.5747,3089,49322,0.1278,3212,0.8396,2697,Projected calendar year
2028,34922,0.052,0.2367,8265,0.22,6447,0.5373,3213,52534,0.1227,3235,0.7921,2562,Projected calendar year
2029,36581,0.0475,0.23,8414,0.22,6563,0.5,3318,55852,0.1175,3245,0.7473,2425,Projected calendar year
,,0.025,,,,,,,,,95034,0.7473,71015,Terminal value
