Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,19426,0.0,0.3221,6258,0.2259,4844,1.849,,10506,0.4611,,,,Historical calendar year
2022,22579,0.1623,0.279,6299,0.2319,4838,0.8493,3713,26586,0.182,3877,,,Historical calendar year
2023,24500,0.0851,0.272,6663,0.2061,5289,0.6814,2819,35955,0.1471,12927,,,Historical calendar year
2024,27030,0.1033,0.266,7190,0.21,5680,0.6794,3724,39783,0.1428,-990,,,Historical calendar year
2025,27794,0.0283,0.2634,7321,0.3003,5123,0.6867,1113,40477,0.1266,-1370,,,Historical ttm
2025,28649,0.0599,0.2567,7355,0.22,5737,0.6493,1317,41794,0.1373,4419,0.9434,4169,Projected calendar year
2026,30255,0.056,0.25,7565,0.22,5901,0.612,2623,44417,0.1328,3278,0.89,2917,Projected calendar year
2027,31833,0.0522,0.2434,7747,0.22,6043,0.5747,2746,47163,0.1281,3297,0.8396,2768,Projected calendar year
2028,33369,0.0483,0.2367,7898,0.22,6160,0.5373,2860,50023,0.1231,3300,0.7921,2614,Projected calendar year
2029,34851,0.0444,0.23,8016,0.22,6252,0.5,2963,52986,0.118,3289,0.7473,2458,Projected calendar year
,,0.025,,,,,,,,,96331,0.7473,71984,Terminal value
