Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,19426,0.0,0.3221,6258,0.2259,4844,1.849,,10506,0.4611,,,,Historical calendar year
2022,22579,0.1623,0.279,6299,0.2319,4838,0.8493,3713,26586,0.182,3877,,,Historical calendar year
2023,24500,0.0851,0.272,6663,0.2061,5289,0.6814,2819,35955,0.1471,12927,,,Historical calendar year
2024,27030,0.1033,0.266,7190,0.21,5680,0.6794,3724,39783,0.1428,-990,,,Historical calendar year
2025,27794,0.0283,0.2634,7321,0.3003,5123,0.6867,1113,40477,0.1266,-1370,,,Historical ttm
2025,29567,0.0638,0.2567,7590,0.22,5921,0.6493,2731,43208,0.137,3190,0.9434,3010,Projected calendar year
2026,32040,0.0837,0.25,8011,0.22,6249,0.612,4041,47249,0.1323,2208,0.89,1965,Projected calendar year
2027,34514,0.0772,0.2434,8399,0.22,6551,0.5747,4304,51553,0.1271,2248,0.8396,1887,Projected calendar year
2028,36987,0.0717,0.2367,8754,0.22,6828,0.5373,4603,56156,0.1216,2225,0.7921,1763,Projected calendar year
2029,39460,0.0669,0.23,9076,0.22,7079,0.5,4947,61102,0.1159,2133,0.7473,1594,Projected calendar year
,,0.025,,,,,,,,,62454,0.7473,46669,Terminal value
