enterprise_value,terminal_value,npv,net_debt,equity_value,per_share_value,share_price,upside,average_growth_rate,ticker,name,horizon,proj_type,fcf_source,p_method,method_label,used_wacc
-30449045027.487267,-41122387168.41581,-30449045027.487267,22509000000.0,-52958045027.48727,-255.38317564714666,628.6,-140.62729488500582,0.10116893583558319,COLO-B.CO,Coloplast A/S,5,standard,FCFF,cagr,Historical Cagr,0.06
56165311582.18718,62453539342.85715,56165311582.18718,22509000000.0,33656311582.18718,162.30311613594375,628.6,-74.1802233318575,0.06469434577829264,COLO-B.CO,Coloplast A/S,5,standard,FCFF,slope,Regression Slope,0.06
51374650579.193146,55436322237.57711,51374650579.193146,22509000000.0,28865650579.193146,139.2007863622797,628.6,-77.855426922959,0.06250000000000001,COLO-B.CO,Coloplast A/S,5,standard,FCFF,man_inp_growth,Manual Input Growth,0.06
50855727865.45442,58984090116.85985,50855727865.45442,22509000000.0,28346727865.454422,136.69835013221785,628.6,-78.25352368243432,0.07831825508490824,COLO-B.CO,Coloplast A/S,5,converged,FCFF,cagr,Historical Cagr,0.06
86080524022.89626,96330631113.36699,86080524022.89626,22509000000.0,63571524022.896255,306.56527591359304,628.6,-51.230468356094015,0.04762793528579306,COLO-B.CO,Coloplast A/S,5,converged,FCFF,slope,Regression Slope,0.06
83695178698.23999,95033596498.4132,83695178698.23999,22509000000.0,61186178698.23999,295.0622632228941,628.6,-53.06040992317943,0.05125000000000001,COLO-B.CO,Coloplast A/S,5,converged,FCFF,man_inp_growth,Manual Input Growth,0.06
-38388245134.41806,-71315306515.38953,-38388245134.41806,22509000000.0,-60897245134.41806,-293.6689192835249,628.6,-146.7179317982063,0.10809338454790893,COLO-B.CO,Coloplast A/S,10,standard,FCFF,cagr,Historical Cagr,0.06
95011553872.31255,127425363700.00002,95011553872.31255,22509000000.0,72502553872.31255,349.6339874485364,628.6,-44.37893931776386,0.06076312680611788,COLO-B.CO,Coloplast A/S,10,standard,FCFF,slope,Regression Slope,0.06
64438900711.30646,77752309697.95653,64438900711.30646,22509000000.0,41929900711.30646,202.2014066543626,628.6,-67.83305652969096,0.06590909090909093,COLO-B.CO,Coloplast A/S,10,standard,FCFF,man_inp_growth,Manual Input Growth,0.06
137844309110.63245,201096309291.9558,137844309110.63245,22509000000.0,115335309110.63245,556.1892907797196,628.6,-11.5193619504105,0.062392023046559025,COLO-B.CO,Coloplast A/S,10,converged,FCFF,cagr,Historical Cagr,0.06
117820396671.42946,156616852777.79254,117820396671.42946,22509000000.0,95311396671.42946,459.62661848035856,628.6,-26.88090701871484,0.04086894162899773,COLO-B.CO,Coloplast A/S,10,converged,FCFF,slope,Regression Slope,0.06
122035402450.55653,165380616655.4602,122035402450.55653,22509000000.0,99526402450.55653,479.95292698902483,628.6,-23.64732310069602,0.04340909090909092,COLO-B.CO,Coloplast A/S,10,converged,FCFF,man_inp_growth,Manual Input Growth,0.06
