Year,variable,method,value,parameter_value,growth_rate
2025,Revenue,cagr,31029297283.13704,0.11640272300269983,0.11640272300269983
2026,Revenue,cagr,34641191979.75446,0.11640272300269983,0.11640272300269983
2027,Revenue,cagr,38673521054.25717,0.11640272300269983,0.11640272300269983
2028,Revenue,cagr,43175224213.07495,0.11640272300269983,0.11640272300269983
2029,Revenue,cagr,48200937877.72897,0.11640272300269983,0.11640272300269983
2030,Revenue,cagr,53811658297.9806,0.11640272300269983,0.11640272300269983
2031,Revenue,cagr,60075481853.156364,0.11640272300269983,0.11640272300269983
2032,Revenue,cagr,67068431526.56304,0.11640272300269983,0.11640272300269983
2033,Revenue,cagr,74875379583.7751,0.11640272300269983,0.11640272300269983
2034,Revenue,cagr,83591077653.18729,0.11640272300269983,0.11640272300269983
2025,Revenue,slope,29567000000.0,2473300000.0,0.06379074620421665
2026,Revenue,slope,32040300000.0,2473300000.0,0.08365069164947414
2027,Revenue,slope,34513600000.0,2473300000.0,0.0771934095498481
2028,Revenue,slope,36986900000.0,2473300000.0,0.07166160585971904
2029,Revenue,slope,39460200000.0,2473300000.0,0.06686962140649788
2030,Revenue,slope,41933500000.0,2473300000.0,0.06267834425573104
2031,Revenue,slope,44406800000.0,2473300000.0,0.05898148258552238
2032,Revenue,slope,46880100000.0,2473300000.0,0.055696424871866546
2033,Revenue,slope,49353400000.0,2473300000.0,0.05275799326366615
2034,Revenue,slope,51826700000.0,2473300000.0,0.05011407522075473
2025,Revenue,man_inp_growth,29739580000.0,0.07,0.07
2026,Revenue,man_inp_growth,31821350600.0,0.07,0.07
2027,Revenue,man_inp_growth,34048845142.000004,0.07,0.07
2028,Revenue,man_inp_growth,36432264301.94,0.07,0.07
2029,Revenue,man_inp_growth,38982522803.075806,0.07,0.07
2030,Revenue,man_inp_growth,41711299399.291115,0.07,0.07
2031,Revenue,man_inp_growth,44631090357.24149,0.07,0.07
2032,Revenue,man_inp_growth,47755266682.2484,0.07,0.07
2033,Revenue,man_inp_growth,51098135350.00579,0.07,0.07
2034,Revenue,man_inp_growth,54675004824.5062,0.07,0.07
2025,effective_tax_rate,5,0.22000000000000003,,2.220446049250313e-16
2026,effective_tax_rate,5,0.22000000000000003,,2.220446049250313e-16
2027,effective_tax_rate,5,0.22000000000000003,,2.220446049250313e-16
2028,effective_tax_rate,5,0.22,,0.0
2029,effective_tax_rate,5,0.22,,0.0
2025,effective_tax_rate,10,0.22,,0.0
2026,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2027,effective_tax_rate,10,0.22,,0.0
2028,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2029,effective_tax_rate,10,0.22,,0.0
2030,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2031,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2032,effective_tax_rate,10,0.22,,0.0
2033,effective_tax_rate,10,0.22,,0.0
2034,effective_tax_rate,10,0.22,,0.0
2025,effective_tax_rate,cagr,0.2930661365064853,-0.024014620270197296,-0.024014620270197296
2026,effective_tax_rate,cagr,0.28602826452422825,-0.024014620270197296,-0.024014620270197296
2027,effective_tax_rate,cagr,0.27915940436513537,-0.024014620270197296,-0.024014620270197296
2028,effective_tax_rate,cagr,0.2724554972744522,-0.024014620270197296,-0.024014620270197296
2029,effective_tax_rate,cagr,0.26591258196687845,-0.024014620270197296,-0.024014620270197296
2030,effective_tax_rate,cagr,0.25952679228587616,-0.024014620270197296,-0.024014620270197296
2031,effective_tax_rate,cagr,0.2532943549191885,-0.024014620270197296,-0.024014620270197296
2032,effective_tax_rate,cagr,0.24721158716921962,-0.024014620270197296,-0.024014620270197296
2033,effective_tax_rate,cagr,0.24127489477695804,-0.024014620270197296,-0.024014620270197296
2034,effective_tax_rate,cagr,0.23548076979815757,-0.024014620270197296,-0.024014620270197296
2025,effective_tax_rate,slope,0.20013114159868886,-0.007344303353532311,-0.33351198279903305
2026,effective_tax_rate,slope,0.19278683824515655,-0.007344303353532311,-0.036697453953765
2027,effective_tax_rate,slope,0.18544253489162424,-0.007344303353532311,-0.038095460356027844
2028,effective_tax_rate,slope,0.17809823153809193,-0.007344303353532311,-0.039604200610310114
2029,effective_tax_rate,slope,0.17075392818455962,-0.007344303353532311,-0.04123737383636794
2030,effective_tax_rate,slope,0.1634096248310273,-0.007344303353532311,-0.04301103600729006
2031,effective_tax_rate,slope,0.156065321477495,-0.007344303353532311,-0.04494412958310534
2032,effective_tax_rate,slope,0.14872101812396268,-0.007344303353532311,-0.04705916268907551
2033,effective_tax_rate,slope,0.14137671477043037,-0.007344303353532311,-0.04938308953352277
