ticker,name,upside,horizon,proj_type,fcf_source,p_method,method_label,used_wacc,enterprise_value,terminal_value,npv,per_share_value,current_share_price,average_growth_rate
DEMANT.CO,Demant A/S,-59.7487,5,standard,FCFF,cagr,Historical Cagr,0.06266458170742943,35856888274.42354,39981394077.180275,35856888274.42354,112.9451,280.6,0.069
DEMANT.CO,Demant A/S,-28.5676,5,standard,FCFF,slope,Regression Slope,0.06266458170742943,54494361054.236755,62758113806.94178,54494361054.236755,200.4392,280.6,0.0568
DEMANT.CO,Demant A/S,-49.7813,5,standard,FCFF,man_inp_growth,Manual Input Growth,0.06266458170742943,41814575660.63113,46843242277.64678,41814575660.63113,140.9136,280.6,0.0625
DEMANT.CO,Demant A/S,-26.1913,5,converged,FCFF,cagr,Historical Cagr,0.06266458170742943,55914708178.66854,64557411741.43684,55914708178.66854,207.1071,280.6,0.0558
DEMANT.CO,Demant A/S,-28.6118,5,converged,FCFF,slope,Regression Slope,0.06266458170742943,54467977799.81357,63057203332.814575,54467977799.81357,200.3154,280.6,0.0585
DEMANT.CO,Demant A/S,-22.2456,5,converged,FCFF,man_inp_growth,Manual Input Growth,0.06266458170742943,58273155823.1422,66986114664.71065,58273155823.1422,218.1789,280.6,0.0513
DEMANT.CO,Demant A/S,-44.3166,10,standard,FCFF,cagr,Historical Cagr,0.06266458170742943,45080910786.576996,58155989902.3233,45080910786.576996,156.2475,280.6,0.073
DEMANT.CO,Demant A/S,-3.5575,10,standard,FCFF,slope,Regression Slope,0.06266458170742943,69443327098.22481,93889607689.12953,69443327098.22481,270.6176,280.6,0.052
DEMANT.CO,Demant A/S,-34.8292,10,standard,FCFF,man_inp_growth,Manual Input Growth,0.06266458170742943,50751686153.89537,65700070528.112946,50751686153.89537,182.8691,280.6,0.0659
DEMANT.CO,Demant A/S,14.271,10,converged,FCFF,cagr,Historical Cagr,0.06266458170742943,80099768691.3216,111225232022.30856,80099768691.3216,320.6445,280.6,0.0466
DEMANT.CO,Demant A/S,15.8822,10,converged,FCFF,slope,Regression Slope,0.06266458170742943,81062766020.80093,113422677846.05757,81062766020.80093,325.1653,280.6,0.0485
DEMANT.CO,Demant A/S,11.5927,10,converged,FCFF,man_inp_growth,Manual Input Growth,0.06266458170742943,78498889391.32373,107578178127.48563,78498889391.32373,313.1291,280.6,0.0434
