Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,17905,0.0,0.1994,3570,0.2167,2796,1.2893,,13887,0.2571,,,,Historical calendar year
2022,19705,0.1005,0.1582,3118,0.2224,2425,1.0775,1671,18288,0.1705,1137,,,Historical calendar year
2023,21601,0.0962,0.198,4276,0.2462,3223,0.9121,2079,23684,0.1805,-388,,,Historical calendar year
2024,22419,0.0379,0.1948,4368,0.2217,3399,0.8507,962,26355,0.1657,2751,,,Historical calendar year
2025,22419,0.0,0.1948,4368,0.2217,3399,0.8507,0,26355,0.1657,2751,,,Historical ttm
2025,23988,0.07,0.1939,4651,0.22,3627,0.8205,1913,28268,0.1645,1715,0.941,1614,Projected calendar year
2026,25668,0.07,0.1929,4951,0.22,3862,0.7904,2124,30392,0.1629,1738,0.8855,1539,Projected calendar year
2027,27464,0.07,0.1919,5271,0.22,4112,0.7603,2363,32755,0.1609,1748,0.8333,1457,Projected calendar year
2028,29387,0.07,0.191,5612,0.22,4377,0.7301,2633,35388,0.1586,1744,0.7842,1368,Projected calendar year
2029,31444,0.07,0.19,5974,0.22,4660,0.7,2939,38327,0.1559,1721,0.7379,1270,Projected calendar year
,,0.025,,,,,,,,,46843,0.7379,34567,Terminal value
