Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,17905,0.0,0.1994,3570,0.2167,2796,1.2893,,13887,0.2571,,,,Historical calendar year
2022,19705,0.1005,0.1582,3118,0.2224,2425,1.0775,1671,18288,0.1705,1137,,,Historical calendar year
2023,21601,0.0962,0.198,4276,0.2462,3223,0.9121,2079,23684,0.1805,-388,,,Historical calendar year
2024,22419,0.0379,0.1948,4368,0.2217,3399,0.8507,962,26355,0.1657,2751,,,Historical calendar year
2025,22419,0.0,0.1948,4368,0.2217,3399,0.8507,0,26355,0.1657,2751,,,Historical ttm
2025,24138,0.0767,0.1939,4680,0.22,3650,0.8205,2095,28450,0.1645,1555,0.941,1463,Projected calendar year
2026,25851,0.0709,0.1929,4987,0.22,3890,0.7904,2167,30617,0.1629,1723,0.8855,1526,Projected calendar year
2027,27536,0.0652,0.1919,5285,0.22,4122,0.7603,2217,32834,0.161,1905,0.8333,1588,Projected calendar year
2028,29173,0.0595,0.191,5571,0.22,4346,0.7301,2242,35076,0.1588,2103,0.7842,1649,Projected calendar year
2029,30741,0.0537,0.19,5841,0.22,4556,0.7,2239,37315,0.1565,2317,0.7379,1710,Projected calendar year
,,0.025,,,,,,,,,63057,0.7379,46532,Terminal value
