Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,17905,0.0,0.1994,3570,0.2167,2796,1.2893,,13887,0.2571,,,,Historical calendar year
2022,19705,0.1005,0.1582,3118,0.2224,2425,1.0775,1671,18288,0.1705,1137,,,Historical calendar year
2023,21601,0.0962,0.198,4276,0.2462,3223,0.9121,2079,23684,0.1805,-388,,,Historical calendar year
2024,22419,0.0379,0.1948,4368,0.2217,3399,0.8507,962,26355,0.1657,2751,,,Historical calendar year
2025,22419,0.0,0.1948,4368,0.2217,3399,0.8507,0,26355,0.1657,2751,,,Historical ttm
2025,24267,0.0824,0.1939,4705,0.22,3670,0.8205,2252,28607,0.1645,1417,0.941,1334,Projected calendar year
2026,25811,0.0636,0.1929,4979,0.22,3884,0.7904,1953,30560,0.1629,1930,0.8855,1709,Projected calendar year
2027,27355,0.0598,0.1919,5250,0.22,4095,0.7603,2031,32591,0.1611,2065,0.8333,1720,Projected calendar year
2028,28898,0.0564,0.191,5519,0.22,4305,0.7301,2114,34705,0.159,2190,0.7842,1717,Projected calendar year
2029,30442,0.0534,0.19,5784,0.22,4512,0.7,2205,36911,0.1567,2306,0.7379,1702,Projected calendar year
,,0.025,,,,,,,,,62758,0.7379,46312,Terminal value
