Year,variable,method,value,parameter_value,growth_rate
2025,Revenue,cagr,24163705879.073505,0.07782264503650937,0.07782264503650937
2026,Revenue,cagr,26044189384.46726,0.07782264503650937,0.07782264503650937
2027,Revenue,cagr,28071017090.19828,0.07782264503650937,0.07782264503650937
2028,Revenue,cagr,30255577889.022568,0.07782264503650937,0.07782264503650937
2029,Revenue,cagr,32610146987.454433,0.07782264503650937,0.07782264503650937
2030,Revenue,cagr,35147954881.04749,0.07782264503650937,0.07782264503650937
2031,Revenue,cagr,37883261697.514496,0.07782264503650937,0.07782264503650937
2032,Revenue,cagr,40831437325.42536,0.07782264503650937,0.07782264503650937
2033,Revenue,cagr,44009047778.73242,0.07782264503650937,0.07782264503650937
2034,Revenue,cagr,47433948282.4115,0.07782264503650937,0.07782264503650937
2025,Revenue,slope,24267000000.0,1543800000.0,0.08243008162719123
2026,Revenue,slope,25810800000.0,1543800000.0,0.06361725800469764
2027,Revenue,slope,27354600000.0,1543800000.0,0.05981217164907715
2028,Revenue,slope,28898400000.0,1543800000.0,0.056436577394661125
2029,Revenue,slope,30442200000.0,1543800000.0,0.053421642720704154
2030,Revenue,slope,31986000000.0,1543800000.0,0.050712497782683164
2031,Revenue,slope,33529800000.0,1543800000.0,0.04826486587882206
2032,Revenue,slope,35073600000.0,1543800000.0,0.046042624769607965
2033,Revenue,slope,36617400000.0,1543800000.0,0.04401601204324623
2034,Revenue,slope,38161200000.0,1543800000.0,0.04216028445493136
2025,Revenue,man_inp_growth,23988330000.0,0.07,0.07
2026,Revenue,man_inp_growth,25667513100.0,0.07,0.07
2027,Revenue,man_inp_growth,27464239017.0,0.07,0.07
2028,Revenue,man_inp_growth,29386735748.190002,0.07,0.07
2029,Revenue,man_inp_growth,31443807250.563305,0.07,0.07
2030,Revenue,man_inp_growth,33644873758.102737,0.07,0.07
2031,Revenue,man_inp_growth,36000014921.16993,0.07,0.07
2032,Revenue,man_inp_growth,38520015965.651825,0.07,0.07
2033,Revenue,man_inp_growth,41216417083.24745,0.07,0.07
2034,Revenue,man_inp_growth,44101566279.074776,0.07,0.07
2025,effective_tax_rate,5,0.22000000000000003,,2.220446049250313e-16
2026,effective_tax_rate,5,0.22000000000000003,,2.220446049250313e-16
2027,effective_tax_rate,5,0.22000000000000003,,2.220446049250313e-16
2028,effective_tax_rate,5,0.22,,0.0
2029,effective_tax_rate,5,0.22,,0.0
2025,effective_tax_rate,10,0.22,,0.0
2026,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2027,effective_tax_rate,10,0.22,,0.0
2028,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2029,effective_tax_rate,10,0.22,,0.0
2030,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2031,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2032,effective_tax_rate,10,0.22,,0.0
2033,effective_tax_rate,10,0.22,,0.0
2034,effective_tax_rate,10,0.22,,0.0
2025,effective_tax_rate,cagr,0.22345090630133213,0.007698504630764713,0.007698504630764713
2026,effective_tax_rate,cagr,0.22517114413824152,0.007698504630764713,0.007698504630764713
2027,effective_tax_rate,cagr,0.22690462523410437,0.007698504630764713,0.007698504630764713
2028,effective_tax_rate,cagr,0.22865145154221106,0.007698504630764713,0.007698504630764713
2029,effective_tax_rate,cagr,0.23041172580073985,0.007698504630764713,0.007698504630764713
2030,effective_tax_rate,cagr,0.23218555153879933,0.007698504630764713,0.007698504630764713
2031,effective_tax_rate,cagr,0.23397303308251743,0.007698504630764713,0.007698504630764713
2032,effective_tax_rate,cagr,0.23577427556117725,0.007698504630764713,0.007698504630764713
2033,effective_tax_rate,cagr,0.23758938491340018,0.007698504630764713,0.007698504630764713
2034,effective_tax_rate,cagr,0.23941846789337654,0.007698504630764713,0.007698504630764713
2025,effective_tax_rate,slope,0.23649108602636437,0.0038913205408585365,0.0665059170800606
2026,effective_tax_rate,slope,0.24038240656722293,0.0038913205408585365,0.016454406828783075
2027,effective_tax_rate,slope,0.24427372710808146,0.0038913205408585365,0.016188042196716657
2028,effective_tax_rate,slope,0.24816504764893998,0.0038913205408585365,0.015930164029211324
2029,effective_tax_rate,slope,0.25205636818979854,0.0038913205408585365,0.015680373113474477
2030,effective_tax_rate,slope,0.25594768873065704,0.0038913205408585365,0.015438294889372983
2031,effective_tax_rate,slope,0.2598390092715156,0.0038913205408585365,0.015203577575390925
2032,effective_tax_rate,slope,0.26373032981237415,0.0038913205408585365,0.014975890462976427
2033,effective_tax_rate,slope,0.26762165035323265,0.0038913205408585365,0.014754922361894796
2034,effective_tax_rate,slope,0.2715129708940912,0.0038913205408585365,0.014540380181208956
2025,effective_tax_rate,man_inp_growth,0.23726587728740584,0.07,0.07
2026,effective_tax_rate,man_inp_growth,0.25387448869752427,0.07,0.07
2027,effective_tax_rate,man_inp_growth,0.271645702906351,0.07,0.07
2028,effective_tax_rate,man_inp_growth,0.29066090210979556,0.07,0.07
2029,effective_tax_rate,man_inp_growth,0.3110071652574813,0.07,0.07
2030,effective_tax_rate,man_inp_growth,0.332777666825505,0.07,0.07
2031,effective_tax_rate,man_inp_growth,0.3560721035032904,0.07,0.07
2032,effective_tax_rate,man_inp_growth,0.38099715074852075,0.07,0.07
2033,effective_tax_rate,man_inp_growth,0.40766695130091724,0.07,0.07
2034,effective_tax_rate,man_inp_growth,0.43620363789198147,0.07,0.07
2025,operating_margin,5,0.19386779071323432,,-0.004962912087912108
2026,operating_margin,5,0.19290084303492575,,-0.009925824175824105
2027,operating_margin,5,0.19193389535661715,,-0.014888736263736324
2028,operating_margin,5,0.1909669476783086,,-0.01985164835164821
2029,operating_margin,5,0.19,,-0.02481456043956043
2025,operating_margin,10,0.1943512645523886,,-0.0024814560439559985
2026,operating_margin,10,0.19386779071323432,,-0.004962912087912108
2027,operating_margin,10,0.19338431687408,,-0.0074443681318682176
2028,operating_margin,10,0.19290084303492575,,-0.009925824175824105
2029,operating_margin,10,0.19241736919577146,,-0.012407280219780104
2030,operating_margin,10,0.19193389535661715,,-0.014888736263736324
2031,operating_margin,10,0.19145042151746286,,-0.017370192307692323
2032,operating_margin,10,0.1909669476783086,,-0.01985164835164821
2033,operating_margin,10,0.1904834738391543,,-0.02233310439560443
2034,operating_margin,10,0.19,,-0.02481456043956043
2025,sales_to_capital,5,0.8205236198064884,,-0.03542084838752846
2026,sales_to_capital,5,0.7903927148548662,,-0.07084169677505703
2027,sales_to_capital,5,0.7602618099032441,,-0.10626254516258538
2028,sales_to_capital,5,0.730130904951622,,-0.14168339355011383
2029,sales_to_capital,5,0.7,,-0.1771042419376423
2025,sales_to_capital,10,0.8355890722822994,,-0.01771042419376423
2026,sales_to_capital,10,0.8205236198064884,,-0.03542084838752846
2027,sales_to_capital,10,0.8054581673306772,,-0.0531312725812928
2028,sales_to_capital,10,0.7903927148548662,,-0.07084169677505703
2029,sales_to_capital,10,0.7753272623790552,,-0.08855212096882104
2030,sales_to_capital,10,0.7602618099032441,,-0.10626254516258538
2031,sales_to_capital,10,0.7451963574274332,,-0.1239729693563495
