Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,19489000000.0,0.0,,,Historical calendar year
2022,19487000000.0,-0.00010262199189281507,,,Historical calendar year
2023,15993000000.0,-0.17929901985939345,,,Historical calendar year
2024,19699000000.0,0.23172638029137738,,,Historical calendar year
2025,18282000000.0,-0.07193258541042691,,,Historical ttm
2025,18386592254.8505,0.005721051025626244,16950989421.82424,0.9219212123090652,Projected calendar year
2026,18531168906.649426,0.007863156467223327,15750358012.224771,0.8499387217054164,Projected calendar year
2027,18716578105.037045,0.010005261908820411,14665871450.477524,0.7835765367030747,Projected calendar year
2028,18943935254.821712,0.012147367350417496,13685019844.267023,0.7223958306542374,Projected calendar year
2029,19214634102.219173,0.01428947279201458,12796793362.894346,0.6659920399637688,Projected calendar year
,329947089557.47064,0.025,219742135254.4882,0.6659920399637688,Terminal value
