Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,19489000000.0,0.0,,,Historical calendar year
2022,19487000000.0,-0.00010262199189281507,,,Historical calendar year
2023,15993000000.0,-0.17929901985939345,,,Historical calendar year
2024,19699000000.0,0.23172638029137738,,,Historical calendar year
2025,18282000000.0,-0.07193258541042691,,,Historical ttm
2025,21024300000.0,0.15,19382748143.94948,0.9219212123090652,Projected calendar year
2026,24177945000.0,0.15,20549771666.763863,0.8499387217054164,Projected calendar year
2027,27804636749.999996,0.15,21787060968.85203,0.7835765367030747,Projected calendar year
2028,31975332262.499992,0.15,23098846710.213917,0.7223958306542374,Projected calendar year
2029,36771632101.874985,0.15,24489614276.32493,0.6659920399637688,Projected calendar year
,631429821965.2518,0.025,420527235224.5974,0.6659920399637688,Terminal value
