Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,19489000000.0,0.0,,,Historical calendar year
2022,19487000000.0,-0.00010262199189281507,,,Historical calendar year
2023,15993000000.0,-0.17929901985939345,,,Historical calendar year
2024,19699000000.0,0.23172638029137738,,,Historical calendar year
2025,18282000000.0,-0.07193258541042691,,,Historical ttm
2025,19427257887.266163,-0.013794716114210662,17910401143.269268,0.9219212123090652,Projected calendar year
2026,19243006041.45755,-0.009484192101520588,16355375956.646034,0.8499387217054164,Projected calendar year
2027,19143449115.16769,-0.0051736680888305134,15000357558.214638,0.7835765367030747,Projected calendar year
2028,19126925560.467037,-0.0008631440761404392,13817211278.11535,0.7223958306542374,Projected calendar year
2029,19192863339.892067,0.0034473799365496334,12782294208.48055,0.6659920399637688,Projected calendar year
,329573249512.9992,0.025,219493160760.6505,0.6659920399637688,Terminal value
