Year,variable,method,value,parameter_value,growth_rate
2025,Revenue,cagr,165570835709.0,-0.03,-0.03
2026,Revenue,cagr,160835112807.0,-0.03,-0.03
2027,Revenue,cagr,156234842934.0,-0.03,-0.03
2028,Revenue,cagr,151766151811.0,-0.03,-0.03
2029,Revenue,cagr,147425275968.0,-0.03,-0.03
2030,Revenue,cagr,143208559583.0,-0.03,-0.03
2031,Revenue,cagr,139112451398.0,-0.03,-0.03
2032,Revenue,cagr,135133501728.0,-0.03,-0.03
2033,Revenue,cagr,131268359559.0,-0.03,-0.03
2034,Revenue,cagr,127513769724.0,-0.03,-0.03
2025,Revenue,slope,151345500000.0,-13048000000.0,-0.11
2026,Revenue,slope,138297500000.0,-13048000000.0,-0.09
2027,Revenue,slope,125249500000.0,-13048000000.0,-0.09
2028,Revenue,slope,112201500000.0,-13048000000.0,-0.1
2029,Revenue,slope,99153500000.0,-13048000000.0,-0.12
2030,Revenue,slope,86105500000.0,-13048000000.0,-0.13
2031,Revenue,slope,73057500000.0,-13048000000.0,-0.15
2032,Revenue,slope,60009500000.0,-13048000000.0,-0.18
2033,Revenue,slope,46961500000.0,-13048000000.0,-0.22
2034,Revenue,slope,33913500000.0,-13048000000.0,-0.28
2025,Revenue,man_inp_growth,196012900000.0,0.15,0.15
2026,Revenue,man_inp_growth,225414835000.0,0.15,0.15
2027,Revenue,man_inp_growth,259227060250.0,0.15,0.15
2028,Revenue,man_inp_growth,298111119287.0,0.15,0.15
2029,Revenue,man_inp_growth,342827787181.0,0.15,0.15
2030,Revenue,man_inp_growth,394251955258.0,0.15,0.15
2031,Revenue,man_inp_growth,453389748546.0,0.15,0.15
2032,Revenue,man_inp_growth,521398210828.0,0.15,0.15
2033,Revenue,man_inp_growth,599607942453.0,0.15,0.15
2034,Revenue,man_inp_growth,689549133820.0,0.15,0.15
2025,EBITDA,cagr,22555697139.0,0.02,0.02
2026,EBITDA,cagr,22978161485.0,0.02,0.02
2027,EBITDA,cagr,23408538515.0,0.02,0.02
2028,EBITDA,cagr,23846976434.0,0.02,0.02
2029,EBITDA,cagr,24293626220.0,0.02,0.02
2030,EBITDA,cagr,24748641679.0,0.02,0.02
2031,EBITDA,cagr,25212179501.0,0.02,0.02
2032,EBITDA,cagr,25684399306.0,0.02,0.02
2033,EBITDA,cagr,26165463708.0,0.02,0.02
2034,EBITDA,cagr,26655538363.0,0.02,0.02
2025,EBITDA,slope,22793500000.0,-295600000.0,0.03
2026,EBITDA,slope,22497900000.0,-295600000.0,-0.01
2027,EBITDA,slope,22202300000.0,-295600000.0,-0.01
2028,EBITDA,slope,21906700000.0,-295600000.0,-0.01
2029,EBITDA,slope,21611100000.0,-295600000.0,-0.01
2030,EBITDA,slope,21315500000.0,-295600000.0,-0.01
2031,EBITDA,slope,21019900000.0,-295600000.0,-0.01
2032,EBITDA,slope,20724300000.0,-295600000.0,-0.01
2033,EBITDA,slope,20428700000.0,-295600000.0,-0.01
2034,EBITDA,slope,20133100000.0,-295600000.0,-0.01
2025,EBITDA,man_inp_growth,25462150000.0,0.15,0.15
2026,EBITDA,man_inp_growth,29281472500.0,0.15,0.15
2027,EBITDA,man_inp_growth,33673693375.0,0.15,0.15
2028,EBITDA,man_inp_growth,38724747381.0,0.15,0.15
2029,EBITDA,man_inp_growth,44533459488.0,0.15,0.15
2030,EBITDA,man_inp_growth,51213478412.0,0.15,0.15
2031,EBITDA,man_inp_growth,58895500173.0,0.15,0.15
2032,EBITDA,man_inp_growth,67729825199.0,0.15,0.15
2033,EBITDA,man_inp_growth,77889298979.0,0.15,0.15
2034,EBITDA,man_inp_growth,89572693826.0,0.15,0.15
2025,EBIT,cagr,16101802855.0,-0.01,-0.01
2026,EBIT,cagr,15954957241.0,-0.01,-0.01
2027,EBIT,cagr,15809450834.0,-0.01,-0.01
2028,EBIT,cagr,15665271420.0,-0.01,-0.01
2029,EBIT,cagr,15522406897.0,-0.01,-0.01
2030,EBIT,cagr,15380845273.0,-0.01,-0.01
2031,EBIT,cagr,15240574666.0,-0.01,-0.01
2032,EBIT,cagr,15101583302.0,-0.01,-0.01
2033,EBIT,cagr,14963859515.0,-0.01,-0.01
2034,EBIT,cagr,14827391745.0,-0.01,-0.01
2025,EBIT,slope,16466000000.0,-792100000.0,0.01
2026,EBIT,slope,15673900000.0,-792100000.0,-0.05
2027,EBIT,slope,14881800000.0,-792100000.0,-0.05
2028,EBIT,slope,14089700000.0,-792100000.0,-0.05
2029,EBIT,slope,13297600000.0,-792100000.0,-0.06
2030,EBIT,slope,12505500000.0,-792100000.0,-0.06
2031,EBIT,slope,11713400000.0,-792100000.0,-0.06
2032,EBIT,slope,10921300000.0,-792100000.0,-0.07
2033,EBIT,slope,10129200000.0,-792100000.0,-0.07
2034,EBIT,slope,9337100000.0,-792100000.0,-0.08
2025,EBIT,man_inp_growth,18687500000.0,0.15,0.15
2026,EBIT,man_inp_growth,21490625000.0,0.15,0.15
2027,EBIT,man_inp_growth,24714218750.0,0.15,0.15
2028,EBIT,man_inp_growth,28421351562.0,0.15,0.15
2029,EBIT,man_inp_growth,32684554297.0,0.15,0.15
2030,EBIT,man_inp_growth,37587237441.0,0.15,0.15
2031,EBIT,man_inp_growth,43225323058.0,0.15,0.15
2032,EBIT,man_inp_growth,49709121516.0,0.15,0.15
2033,EBIT,man_inp_growth,57165489744.0,0.15,0.15
2034,EBIT,man_inp_growth,65740313205.0,0.15,0.15
2025,Net Income,cagr,10173863447.0,-0.03,-0.03
2026,Net Income,cagr,9830705426.0,-0.03,-0.03
2027,Net Income,cagr,9499121910.0,-0.03,-0.03
2028,Net Income,cagr,9178722497.0,-0.03,-0.03
2029,Net Income,cagr,8869129956.0,-0.03,-0.03
2030,Net Income,cagr,8569979776.0,-0.03,-0.03
2031,Net Income,cagr,8280919743.0,-0.03,-0.03
2032,Net Income,cagr,8001609524.0,-0.03,-0.03
2033,Net Income,cagr,7731720264.0,-0.03,-0.03
2034,Net Income,cagr,7470934198.0,-0.03,-0.03
