Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,4358982388.973967,0.0,,,Historical calendar year
2022,8285795104.391648,0.9008553751789736,,,Historical calendar year
2023,3942795281.177932,-0.5241500385294144,,,Historical calendar year
2024,9755225665.64819,1.4741902558871285,,,Historical calendar year
2025,9777076318.37537,0.0022398920820585477,,,Historical ttm
2025,11116535773.992796,0.137,9925478369.636425,0.8928571428571428,Projected calendar year
2026,12494986209.967903,0.124,9960926506.67084,0.7971938775510203,Projected calendar year
2027,13881929679.27434,0.111,9880883347.242233,0.7117802478134109,Projected calendar year
2028,15242358787.843225,0.098,9686794567.207117,0.6355180784048311,Projected calendar year
2029,16537959284.809898,0.08499999999999999,9384082236.981894,0.5674268557185992,Projected calendar year
,168687184705.06097,0.02,95717638817.21533,0.5674268557185992,Terminal value
