Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,4358982388.973967,0.0,,,Historical calendar year
2022,8285795104.391648,0.9008553751789736,,,Historical calendar year
2023,3942795281.177932,-0.5241500385294144,,,Historical calendar year
2024,9755225665.64819,1.4741902558871285,,,Historical calendar year
2025,9777076318.37537,0.0022398920820585477,,,Historical ttm
2025,10236598905.339012,0.04700000000000001,9139820451.195545,0.8928571428571428,Projected calendar year
2026,10687009257.17393,0.04400000000000001,8519618349.150134,0.7971938775510203,Projected calendar year
2027,11125176636.71806,0.040999999999999995,7918680983.451149,0.7117802478134109,Projected calendar year
2028,11547933348.913345,0.038,7338920411.448475,0.6355180784048311,Projected calendar year
2029,11952111016.12531,0.035,6781948773.079617,0.5674268557185992,Projected calendar year
,121911532364.47818,0.02,69175877485.4121,0.5674268557185992,Terminal value
