Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,4358982388.973967,0.0,,,Historical calendar year
2022,8285795104.391648,0.9008553751789736,,,Historical calendar year
2023,3942795281.177932,-0.5241500385294144,,,Historical calendar year
2024,9755225665.64819,1.4741902558871285,,,Historical calendar year
2025,9777076318.37537,0.0022398920820585477,,,Historical ttm
2025,10265930134.29414,0.05,9166009048.47691,0.8928571428571428,Projected calendar year
2026,10779226641.008848,0.05,8593133482.947104,0.7971938775510203,Projected calendar year
2027,11318187973.059292,0.05,8056062640.262909,0.7117802478134109,Projected calendar year
2028,11884097371.712257,0.05,7552558725.246477,0.6355180784048311,Projected calendar year
2029,12478302240.29787,0.05,7080523804.918572,0.5674268557185992,Projected calendar year
,127278682851.0383,0.02,72221342810.16945,0.5674268557185992,Terminal value
