Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,4358982388.973967,0.0,,,Historical calendar year
2022,8285795104.391648,0.9008553751789736,,,Historical calendar year
2023,3942795281.177932,-0.5241500385294144,,,Historical calendar year
2024,9755225665.64819,1.4741902558871285,,,Historical calendar year
2025,9777076318.37537,0.0022398920820585477,,,Historical ttm
2025,9547132111.750172,-0.023518708368168606,8524225099.776938,0.8928571428571428,Projected calendar year
2026,10731705112.431068,0.12407631808330999,8555249611.313032,0.7971938775510203,Projected calendar year
2027,11916278113.111963,0.1103806886483254,8481771388.364357,0.7117802478134109,Projected calendar year
2028,13100851113.792858,0.09940796861542367,8325827725.3054285,0.6355180784048311,Projected calendar year
2029,14285424114.473755,0.09041954529456131,8105933287.882497,0.5674268557185992,Projected calendar year
,145711325967.6323,0.02,82680519536.40146,0.5674268557185992,Terminal value
