Year,variable,method,value,parameter_value,growth_rate
2025,Revenue,cagr,24883700000.0,0.15,0.15
2026,Revenue,cagr,28616255000.0,0.15,0.15
2027,Revenue,cagr,32908693250.0,0.15,0.15
2028,Revenue,cagr,37844997237.0,0.15,0.15
2029,Revenue,cagr,43521746823.0,0.15,0.15
2030,Revenue,cagr,50050008847.0,0.15,0.15
2031,Revenue,cagr,57557510174.0,0.15,0.15
2032,Revenue,cagr,66191136700.0,0.15,0.15
2033,Revenue,cagr,76119807205.0,0.15,0.15
2034,Revenue,cagr,87537778285.0,0.15,0.15
2025,Revenue,slope,25554500000.0,4129600000.0,0.18
2026,Revenue,slope,29684100000.0,4129600000.0,0.16
2027,Revenue,slope,33813700000.0,4129600000.0,0.14
2028,Revenue,slope,37943300000.0,4129600000.0,0.12
2029,Revenue,slope,42072900000.0,4129600000.0,0.11
2030,Revenue,slope,46202500000.0,4129600000.0,0.1
2031,Revenue,slope,50332100000.0,4129600000.0,0.09
2032,Revenue,slope,54461700000.0,4129600000.0,0.08
2033,Revenue,slope,58591300000.0,4129600000.0,0.08
2034,Revenue,slope,62720900000.0,4129600000.0,0.07
2025,Revenue,man_inp_growth,22719900000.0,0.05,0.05
2026,Revenue,man_inp_growth,23855895000.0,0.05,0.05
2027,Revenue,man_inp_growth,25048689750.0,0.05,0.05
2028,Revenue,man_inp_growth,26301124238.0,0.05,0.05
2029,Revenue,man_inp_growth,27616180449.0,0.05,0.05
2030,Revenue,man_inp_growth,28996989472.0,0.05,0.05
2031,Revenue,man_inp_growth,30446838945.0,0.05,0.05
2032,Revenue,man_inp_growth,31969180893.0,0.05,0.05
2033,Revenue,man_inp_growth,33567639937.0,0.05,0.05
2034,Revenue,man_inp_growth,35246021934.0,0.05,0.05
2025,EBITDA,cagr,11150400000.0,0.15,0.15
2026,EBITDA,cagr,12822960000.0,0.15,0.15
2027,EBITDA,cagr,14746404000.0,0.15,0.15
2028,EBITDA,cagr,16958364600.0,0.15,0.15
2029,EBITDA,cagr,19502119290.0,0.15,0.15
2030,EBITDA,cagr,22427437183.0,0.15,0.15
2031,EBITDA,cagr,25791552761.0,0.15,0.15
2032,EBITDA,cagr,29660285675.0,0.15,0.15
2033,EBITDA,cagr,34109328526.0,0.15,0.15
2034,EBITDA,cagr,39225727805.0,0.15,0.15
2025,EBITDA,slope,10608500000.0,1521000000.0,0.09
2026,EBITDA,slope,12129500000.0,1521000000.0,0.14
2027,EBITDA,slope,13650500000.0,1521000000.0,0.13
2028,EBITDA,slope,15171500000.0,1521000000.0,0.11
2029,EBITDA,slope,16692500000.0,1521000000.0,0.1
2030,EBITDA,slope,18213500000.0,1521000000.0,0.09
2031,EBITDA,slope,19734500000.0,1521000000.0,0.08
2032,EBITDA,slope,21255500000.0,1521000000.0,0.08
2033,EBITDA,slope,22776500000.0,1521000000.0,0.07
2034,EBITDA,slope,24297500000.0,1521000000.0,0.07
2025,EBITDA,man_inp_growth,10180800000.0,0.05,0.05
2026,EBITDA,man_inp_growth,10689840000.0,0.05,0.05
2027,EBITDA,man_inp_growth,11224332000.0,0.05,0.05
2028,EBITDA,man_inp_growth,11785548600.0,0.05,0.05
2029,EBITDA,man_inp_growth,12374826030.0,0.05,0.05
2030,EBITDA,man_inp_growth,12993567332.0,0.05,0.05
2031,EBITDA,man_inp_growth,13643245698.0,0.05,0.05
2032,EBITDA,man_inp_growth,14325407983.0,0.05,0.05
2033,EBITDA,man_inp_growth,15041678382.0,0.05,0.05
2034,EBITDA,man_inp_growth,15793762301.0,0.05,0.05
2025,Net Income,cagr,9024050000.0,0.15,0.15
2026,Net Income,cagr,10377657500.0,0.15,0.15
2027,Net Income,cagr,11934306125.0,0.15,0.15
2028,Net Income,cagr,13724452044.0,0.15,0.15
2029,Net Income,cagr,15783119850.0,0.15,0.15
2030,Net Income,cagr,18150587828.0,0.15,0.15
2031,Net Income,cagr,20873176002.0,0.15,0.15
2032,Net Income,cagr,24004152402.0,0.15,0.15
2033,Net Income,cagr,27604775263.0,0.15,0.15
2034,Net Income,cagr,31745491552.0,0.15,0.15
2025,Net Income,slope,8541500000.0,1356100000.0,0.09
2026,Net Income,slope,9897600000.0,1356100000.0,0.16
2027,Net Income,slope,11253700000.0,1356100000.0,0.14
2028,Net Income,slope,12609800000.0,1356100000.0,0.12
2029,Net Income,slope,13965900000.0,1356100000.0,0.11
2030,Net Income,slope,15322000000.0,1356100000.0,0.1
2031,Net Income,slope,16678100000.0,1356100000.0,0.09
2032,Net Income,slope,18034200000.0,1356100000.0,0.08
2033,Net Income,slope,19390300000.0,1356100000.0,0.08
2034,Net Income,slope,20746400000.0,1356100000.0,0.07
2025,Net Income,man_inp_growth,8239350000.0,0.05,0.05
2026,Net Income,man_inp_growth,8651317500.0,0.05,0.05
2027,Net Income,man_inp_growth,9083883375.0,0.05,0.05
2028,Net Income,man_inp_growth,9538077544.0,0.05,0.05
2029,Net Income,man_inp_growth,10014981421.0,0.05,0.05
2030,Net Income,man_inp_growth,10515730492.0,0.05,0.05
2031,Net Income,man_inp_growth,11041517017.0,0.05,0.05
2032,Net Income,man_inp_growth,11593592867.0,0.05,0.05
2033,Net Income,man_inp_growth,12173272511.0,0.05,0.05
2034,Net Income,man_inp_growth,12781936136.0,0.05,0.05
2025,FCF,cagr,8635350000.0,0.15,0.15
2026,FCF,cagr,9930652500.0,0.15,0.15
2027,FCF,cagr,11420250375.0,0.15,0.15
2028,FCF,cagr,13133287931.0,0.15,0.15
2029,FCF,cagr,15103281121.0,0.15,0.15
2030,FCF,cagr,17368773289.0,0.15,0.15
2031,FCF,cagr,19974089282.0,0.15,0.15
2032,FCF,cagr,22970202675.0,0.15,0.15
2033,FCF,cagr,26415733076.0,0.15,0.15
2034,FCF,cagr,30378093037.0,0.15,0.15
2025,FCF,slope,9981000000.0,1988200000.0,0.33
2026,FCF,slope,11969200000.0,1988200000.0,0.2
2027,FCF,slope,13957400000.0,1988200000.0,0.17
2028,FCF,slope,15945600000.0,1988200000.0,0.14
2029,FCF,slope,17933800000.0,1988200000.0,0.12
2030,FCF,slope,19922000000.0,1988200000.0,0.11
2031,FCF,slope,21910200000.0,1988200000.0,0.1
2032,FCF,slope,23898400000.0,1988200000.0,0.09
2033,FCF,slope,25886600000.0,1988200000.0,0.08
2034,FCF,slope,27874800000.0,1988200000.0,0.08
2025,FCF,man_inp_growth,7884450000.0,0.05,0.05
2026,FCF,man_inp_growth,8278672500.0,0.05,0.05
2027,FCF,man_inp_growth,8692606125.0,0.05,0.05
2028,FCF,man_inp_growth,9127236431.0,0.05,0.05
2029,FCF,man_inp_growth,9583598253.0,0.05,0.05
2030,FCF,man_inp_growth,10062778165.0,0.05,0.05
2031,FCF,man_inp_growth,10565917074.0,0.05,0.05
2032,FCF,man_inp_growth,11094212927.0,0.05,0.05
2033,FCF,man_inp_growth,11648923574.0,0.05,0.05
2034,FCF,man_inp_growth,12231369752.0,0.05,0.05
2025,Depreciation And Amortization,cagr,478400000.0,0.15,0.15
2026,Depreciation And Amortization,cagr,550160000.0,0.15,0.15
2027,Depreciation And Amortization,cagr,632684000.0,0.15,0.15
2028,Depreciation And Amortization,cagr,727586600.0,0.15,0.15
2029,Depreciation And Amortization,cagr,836724590.0,0.15,0.15
2030,Depreciation And Amortization,cagr,962233278.0,0.15,0.15
2031,Depreciation And Amortization,cagr,1106568270.0,0.15,0.15
2032,Depreciation And Amortization,cagr,1272553511.0,0.15,0.15
2033,Depreciation And Amortization,cagr,1463436537.0,0.15,0.15
2034,Depreciation And Amortization,cagr,1682952018.0,0.15,0.15
2025,Depreciation And Amortization,slope,436500000.0,42800000.0,0.05
2026,Depreciation And Amortization,slope,479300000.0,42800000.0,0.1
2027,Depreciation And Amortization,slope,522100000.0,42800000.0,0.09
2028,Depreciation And Amortization,slope,564900000.0,42800000.0,0.08
2029,Depreciation And Amortization,slope,607700000.0,42800000.0,0.08
2030,Depreciation And Amortization,slope,650500000.0,42800000.0,0.07
2031,Depreciation And Amortization,slope,693300000.0,42800000.0,0.07
2032,Depreciation And Amortization,slope,736100000.0,42800000.0,0.06
2033,Depreciation And Amortization,slope,778900000.0,42800000.0,0.06
2034,Depreciation And Amortization,slope,821700000.0,42800000.0,0.05
2025,Depreciation And Amortization,man_inp_growth,436800000.0,0.05,0.05
2026,Depreciation And Amortization,man_inp_growth,458640000.0,0.05,0.05
2027,Depreciation And Amortization,man_inp_growth,481572000.0,0.05,0.05
2028,Depreciation And Amortization,man_inp_growth,505650600.0,0.05,0.05
2029,Depreciation And Amortization,man_inp_growth,530933130.0,0.05,0.05
2030,Depreciation And Amortization,man_inp_growth,557479786.0,0.05,0.05
2031,Depreciation And Amortization,man_inp_growth,585353776.0,0.05,0.05
2032,Depreciation And Amortization,man_inp_growth,614621465.0,0.05,0.05
2033,Depreciation And Amortization,man_inp_growth,645352538.0,0.05,0.05
2034,Depreciation And Amortization,man_inp_growth,677620165.0,0.05,0.05
2025,Total Debt,cagr,164450000.0,0.15,0.15
2026,Total Debt,cagr,189117500.0,0.15,0.15
2027,Total Debt,cagr,217485125.0,0.15,0.15
2028,Total Debt,cagr,250107894.0,0.15,0.15
2029,Total Debt,cagr,287624078.0,0.15,0.15
2030,Total Debt,cagr,330767689.0,0.15,0.15
2031,Total Debt,cagr,380382843.0,0.15,0.15
2032,Total Debt,cagr,437440269.0,0.15,0.15
2033,Total Debt,cagr,503056310.0,0.15,0.15
2034,Total Debt,cagr,578514756.0,0.15,0.15
2025,Total Debt,slope,1201500000.0,198500000.0,7.4
2026,Total Debt,slope,1400000000.0,198500000.0,0.17
2027,Total Debt,slope,1598500000.0,198500000.0,0.14
2028,Total Debt,slope,1797000000.0,198500000.0,0.12
2029,Total Debt,slope,1995500000.0,198500000.0,0.11
2030,Total Debt,slope,2194000000.0,198500000.0,0.1
2031,Total Debt,slope,2392500000.0,198500000.0,0.09
2032,Total Debt,slope,2591000000.0,198500000.0,0.08
2033,Total Debt,slope,2789500000.0,198500000.0,0.08
2034,Total Debt,slope,2988000000.0,198500000.0,0.07
2025,Total Debt,man_inp_growth,150150000.0,0.05,0.05
2026,Total Debt,man_inp_growth,157657500.0,0.05,0.05
2027,Total Debt,man_inp_growth,165540375.0,0.05,0.05
2028,Total Debt,man_inp_growth,173817394.0,0.05,0.05
2029,Total Debt,man_inp_growth,182508263.0,0.05,0.05
2030,Total Debt,man_inp_growth,191633677.0,0.05,0.05
2031,Total Debt,man_inp_growth,201215360.0,0.05,0.05
2032,Total Debt,man_inp_growth,211276128.0,0.05,0.05
2033,Total Debt,man_inp_growth,221839935.0,0.05,0.05
2034,Total Debt,man_inp_growth,232931932.0,0.05,0.05
2025,Cash,cagr,1671561124.0,0.03,0.03
2026,Cash,cagr,1725828653.0,0.03,0.03
2027,Cash,cagr,1781857988.0,0.03,0.03
2028,Cash,cagr,1839706325.0,0.03,0.03
2029,Cash,cagr,1899432719.0,0.03,0.03
2030,Cash,cagr,1961098141.0,0.03,0.03
2031,Cash,cagr,2024765541.0,0.03,0.03
2032,Cash,cagr,2090499916.0,0.03,0.03
2033,Cash,cagr,2158368368.0,0.03,0.03
2034,Cash,cagr,2228440182.0,0.03,0.03
2025,Cash,slope,12813000000.0,767700000.0,6.91
2026,Cash,slope,13580700000.0,767700000.0,0.06
2027,Cash,slope,14348400000.0,767700000.0,0.06
2028,Cash,slope,15116100000.0,767700000.0,0.05
2029,Cash,slope,15883800000.0,767700000.0,0.05
2030,Cash,slope,16651500000.0,767700000.0,0.05
2031,Cash,slope,17419200000.0,767700000.0,0.05
2032,Cash,slope,18186900000.0,767700000.0,0.04
2033,Cash,slope,18954600000.0,767700000.0,0.04
2034,Cash,slope,19722300000.0,767700000.0,0.04
2025,Cash,man_inp_growth,1699950000.0,0.05,0.05
2026,Cash,man_inp_growth,1784947500.0,0.05,0.05
2027,Cash,man_inp_growth,1874194875.0,0.05,0.05
2028,Cash,man_inp_growth,1967904619.0,0.05,0.05
2029,Cash,man_inp_growth,2066299850.0,0.05,0.05
2030,Cash,man_inp_growth,2169614842.0,0.05,0.05
2031,Cash,man_inp_growth,2278095584.0,0.05,0.05
2032,Cash,man_inp_growth,2392000363.0,0.05,0.05
2033,Cash,man_inp_growth,2511600382.0,0.05,0.05
2034,Cash,man_inp_growth,2637180401.0,0.05,0.05
2025,CapEx,cagr,,,
2026,CapEx,cagr,,,
2027,CapEx,cagr,,,
2028,CapEx,cagr,,,
2029,CapEx,cagr,,,
2030,CapEx,cagr,,,
2031,CapEx,cagr,,,
2032,CapEx,cagr,,,
2033,CapEx,cagr,,,
2034,CapEx,cagr,,,
2025,CapEx,slope,-366000000.0,-21500000.0,0.11
2026,CapEx,slope,-387500000.0,-21500000.0,0.06
2027,CapEx,slope,-409000000.0,-21500000.0,0.06
2028,CapEx,slope,-430500000.0,-21500000.0,0.05
2029,CapEx,slope,-452000000.0,-21500000.0,0.05
2030,CapEx,slope,-473500000.0,-21500000.0,0.05
2031,CapEx,slope,-495000000.0,-21500000.0,0.05
2032,CapEx,slope,-516500000.0,-21500000.0,0.04
2033,CapEx,slope,-538000000.0,-21500000.0,0.04
2034,CapEx,slope,-559500000.0,-21500000.0,0.04
2025,CapEx,man_inp_growth,-346500000.0,0.05,0.05
