ticker,name,upside,horizon,proj_type,fcf_source,p_method,method_label,used_wacc,enterprise_value,terminal_value,npv,net_debt,per_share_value,current_share_price,n_shares,average_growth_rate
GMAB,Genmab A/S,44.3087,5,standard,FCFF,cagr,Historical Cagr,0.07802035497946433,17871,21403,17871,-1148,30.9254,21.43,615025024,0.1292
GMAB,Genmab A/S,41.954,5,standard,FCFF,slope,Regression Slope,0.07802035497946433,17561,20875,17561,-1148,30.4207,21.43,615025024,0.1059
GMAB,Genmab A/S,44.3087,5,standard,FCFF,man_inp_growth,Manual Input Growth,0.07802035497946433,17871,21403,17871,-1148,30.9254,21.43,615025024,0.1292
GMAB,Genmab A/S,41.8221,5,converged,FCFF,cagr,Historical Cagr,0.07802035497946433,17544,20805,17544,-1148,30.3925,21.43,615025024,0.0979
GMAB,Genmab A/S,23.0849,5,converged,FCFF,slope,Regression Slope,0.07802035497946433,15074,17226,15074,-1148,26.3771,21.43,615025024,0.0684
GMAB,Genmab A/S,41.8221,5,converged,FCFF,man_inp_growth,Manual Input Growth,0.07802035497946433,17544,20805,17544,-1148,30.3925,21.43,615025024,0.0979
GMAB,Genmab A/S,119.6671,10,standard,FCFF,cagr,Historical Cagr,0.07802035497946433,27804,43049,27804,-1148,47.0747,21.43,615025024,0.1386
GMAB,Genmab A/S,81.8896,10,standard,FCFF,slope,Regression Slope,0.07802035497946433,22825,33370,22825,-1148,38.9789,21.43,615025024,0.0946
GMAB,Genmab A/S,119.6671,10,standard,FCFF,man_inp_growth,Manual Input Growth,0.07802035497946433,27804,43049,27804,-1148,47.0747,21.43,615025024,0.1386
GMAB,Genmab A/S,70.3732,10,converged,FCFF,cagr,Historical Cagr,0.07802035497946433,21307,30373,21307,-1148,36.511,21.43,615025024,0.0761
GMAB,Genmab A/S,37.2206,10,converged,FCFF,slope,Regression Slope,0.07802035497946433,16937,22690,16937,-1148,29.4064,21.43,615025024,0.0555
GMAB,Genmab A/S,70.3732,10,converged,FCFF,man_inp_growth,Manual Input Growth,0.07802035497946433,21307,30373,21307,-1148,36.511,21.43,615025024,0.0761
