Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,1281,0.0,0.467,598,0.2453,452,0.616,,2080,0.2171,,,,Historical calendar year
2022,2088,0.6293,0.4815,1005,0.215,789,0.8065,1000,2589,0.3048,219,,,Historical calendar year
2023,2446,0.1716,0.3464,847,0.228,654,0.9407,381,2600,0.2516,-110,,,Historical calendar year
2024,3003,0.2279,0.4313,1295,0.144,1109,0.7724,722,3888,0.2852,2530,,,Historical calendar year
2025,3261,0.0859,0.4334,1413,0.1145,1251,0.7851,329,4154,0.3012,481,,,Historical ttm
2025,3710,0.1375,0.34,1261,0.22,984,1.0281,436,4590,0.2143,548,0.9276,508,Projected calendar year
2026,4173,0.125,0.33,1377,0.22,1074,1.2711,365,4955,0.2168,709,0.8605,610,Projected calendar year
2027,4643,0.1125,0.32,1486,0.22,1159,1.514,310,5265,0.2201,849,0.7982,677,Projected calendar year
2028,5107,0.1,0.31,1583,0.22,1235,1.757,264,5529,0.2233,971,0.7404,719,Projected calendar year
2029,5554,0.0875,0.3,1666,0.22,1300,2.0,223,5753,0.2259,1076,0.6869,739,Projected calendar year
,,0.025,,,,,,,,,20805,0.6869,14290,Terminal value
