Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,1281,0.0,0.467,598,0.2453,452,0.616,,2080,0.2171,,,,Historical calendar year
2022,2088,0.6293,0.4815,1005,0.215,789,0.8065,1000,2589,0.3048,219,,,Historical calendar year
2023,2446,0.1716,0.3464,847,0.228,654,0.9407,381,2600,0.2516,-110,,,Historical calendar year
2024,3003,0.2279,0.4313,1295,0.144,1109,0.7724,722,3888,0.2852,2530,,,Historical calendar year
2025,3261,0.0859,0.4334,1413,0.1145,1251,0.7851,329,4154,0.3012,481,,,Historical ttm
2025,3586,0.0994,0.34,1219,0.22,951,1.0281,315,4469,0.2128,635,0.9276,589,Projected calendar year
2026,4138,0.1541,0.33,1366,0.22,1065,1.2711,435,4904,0.2172,631,0.8605,543,Projected calendar year
2027,4690,0.1335,0.32,1501,0.22,1171,1.514,365,5269,0.2222,806,0.7982,643,Projected calendar year
2028,5243,0.1178,0.31,1625,0.22,1268,1.757,314,5583,0.2271,953,0.7404,706,Projected calendar year
2029,5795,0.1054,0.3,1739,0.22,1356,2.0,276,5859,0.2314,1080,0.6869,742,Projected calendar year
,,0.025,,,,,,,,,20876,0.6869,14339,Terminal value
