Year,variable,method,value,parameter_value,growth_rate
2025,Revenue,cagr,3750422305.932251,0.15,0.15
2026,Revenue,cagr,4312985651.822088,0.15,0.15
2027,Revenue,cagr,4959933499.595401,0.15,0.15
2028,Revenue,cagr,5703923524.534711,0.15,0.15
2029,Revenue,cagr,6559512053.214917,0.15,0.15
2030,Revenue,cagr,7543438861.197154,0.15,0.15
2031,Revenue,cagr,8674954690.376726,0.15,0.15
2032,Revenue,cagr,9976197893.933235,0.15,0.15
2033,Revenue,cagr,11472627578.02322,0.15,0.15
2034,Revenue,cagr,13193521714.726702,0.15,0.15
2025,Revenue,slope,3585514988.027715,552384534.6589279,0.09943411698190707
2026,Revenue,slope,4137899522.686643,552384534.6589279,0.1540600266637786
2027,Revenue,slope,4690284057.3455715,552384534.6589279,0.13349394581245844
2028,Revenue,slope,5242668592.004499,552384534.6589279,0.11777208542280593
2029,Revenue,slope,5795053126.663427,552384534.6589279,0.10536323724550511
2030,Revenue,slope,6347437661.322355,552384534.6589279,0.09532001218718245
2031,Revenue,slope,6899822195.981283,552384534.6589279,0.08702480656483513
2032,Revenue,slope,7452206730.640211,552384534.6589279,0.08005779264582458
2033,Revenue,slope,8004591265.299139,552384534.6589279,0.0741236193016177
2034,Revenue,slope,8556975799.958067,552384534.6589279,0.06900846231257063
2025,Revenue,man_inp_growth,3750422305.932251,0.15,0.15
2026,Revenue,man_inp_growth,4312985651.822088,0.15,0.15
2027,Revenue,man_inp_growth,4959933499.595401,0.15,0.15
2028,Revenue,man_inp_growth,5703923524.534711,0.15,0.15
2029,Revenue,man_inp_growth,6559512053.214917,0.15,0.15
2030,Revenue,man_inp_growth,7543438861.197154,0.15,0.15
2031,Revenue,man_inp_growth,8674954690.376726,0.15,0.15
2032,Revenue,man_inp_growth,9976197893.933235,0.15,0.15
2033,Revenue,man_inp_growth,11472627578.02322,0.15,0.15
2034,Revenue,man_inp_growth,13193521714.726702,0.15,0.15
2025,effective_tax_rate,5,0.22000000000000003,,2.220446049250313e-16
2026,effective_tax_rate,5,0.22000000000000003,,2.220446049250313e-16
2027,effective_tax_rate,5,0.22000000000000003,,2.220446049250313e-16
2028,effective_tax_rate,5,0.22,,0.0
2029,effective_tax_rate,5,0.22,,0.0
2025,effective_tax_rate,10,0.22,,0.0
2026,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2027,effective_tax_rate,10,0.22,,0.0
2028,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2029,effective_tax_rate,10,0.22,,0.0
2030,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2031,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2032,effective_tax_rate,10,0.22,,0.0
2033,effective_tax_rate,10,0.22,,0.0
2034,effective_tax_rate,10,0.22,,0.0
2025,effective_tax_rate,cagr,0.09592119135810943,-0.1625800591101787,-0.1625800591101787
2026,effective_tax_rate,cagr,0.08032631839718923,-0.1625800591101787,-0.1625800591101787
