ticker,name,horizon,proj_type,fcf_source,p_method,method_label,used_wacc,per_share_value,current_share_price,upside,average_growth_rate
GN.CO,GN Store Nord A/S,5,standard,FCFF,cagr,Historical Cagr,0.07,-0.75,99.88,-101.0,-0.18
GN.CO,GN Store Nord A/S,5,standard,FCFF,slope,Regression Slope,0.07,-233.0,99.88,-334.0,0.91
GN.CO,GN Store Nord A/S,5,standard,FCFF,man_inp_growth,Manual Input Growth,0.07,163.0,99.88,63.13,0.07
GN.CO,GN Store Nord A/S,5,converged,FCFF,cagr,Historical Cagr,0.07,24.04,99.88,-75.93,-0.11
GN.CO,GN Store Nord A/S,5,converged,FCFF,slope,Regression Slope,0.07,-65.37,99.88,-165.0,-0.48
GN.CO,GN Store Nord A/S,5,converged,FCFF,man_inp_growth,Manual Input Growth,0.07,150.0,99.88,50.13,0.05
GN.CO,GN Store Nord A/S,10,standard,FCFF,cagr,Historical Cagr,0.07,-31.87,99.88,-132.0,-0.18
GN.CO,GN Store Nord A/S,10,standard,FCFF,slope,Regression Slope,0.07,-400.0,99.88,-500.0,0.52
GN.CO,GN Store Nord A/S,10,standard,FCFF,man_inp_growth,Manual Input Growth,0.07,204.0,99.88,104.0,0.07
GN.CO,GN Store Nord A/S,10,converged,FCFF,cagr,Historical Cagr,0.07,11.24,99.88,-88.74,-0.06
GN.CO,GN Store Nord A/S,10,converged,FCFF,slope,Regression Slope,0.07,-66.88,99.88,-167.0,-0.29
GN.CO,GN Store Nord A/S,10,converged,FCFF,man_inp_growth,Manual Input Growth,0.07,158.0,99.88,57.69,0.04
