Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,2259000000.0,0.0,,,Historical calendar year
2022,1915000000.0,-0.1522797698096503,,,Historical calendar year
2023,451000000.0,-0.764490861618799,,,Historical calendar year
2024,1237000000.0,1.7427937915742793,,,Historical calendar year
2025,1359000000.0,0.09862570735650777,,,Historical ttm
2025,1139941945.7186456,-0.16119062125191644,1060895871.3018813,0.9306578069930291,Projected calendar year
2026,979776939.6376356,-0.14050277444614795,848608276.7197642,0.8661239537170743,Projected calendar year
2027,862385036.5112398,-0.11981492764037943,695138411.1429832,0.8060650193504642,Projected calendar year
2028,776899325.2864312,-0.09912708083461094,582807113.1676673,0.7501707032024966,Projected calendar year
2029,715959937.293439,-0.07843923402884247,499849020.7356182,0.698152221512854,Projected calendar year
,14822798975.566639,0.025,10348570033.830307,0.698152221512854,Terminal value
