Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,2259000000.0,0.0,,,Historical calendar year
2022,1915000000.0,-0.1522797698096503,,,Historical calendar year
2023,451000000.0,-0.764490861618799,,,Historical calendar year
2024,1237000000.0,1.7427937915742793,,,Historical calendar year
2025,1359000000.0,0.09862570735650777,,,Historical ttm
2025,333000000.0,-0.7549668874172185,309909049.7286787,0.9306578069930291,Projected calendar year
2026,-120000000.0,-1.3603603603603602,-103934874.44604892,0.8661239537170743,Projected calendar year
2027,-573000000.0,3.7750000000000004,-461875256.08781594,0.8060650193504642,Projected calendar year
2028,-1026000000.0,0.7905759162303665,-769675141.4857615,0.7501707032024966,Projected calendar year
2029,-1479000000.0,0.4415204678362572,-1032567135.6175112,0.698152221512854,Projected calendar year
,-30620316225.70784,0.025,-21377641796.40402,0.698152221512854,Terminal value
