Year,variable,method,value,parameter_value,growth_rate
2025,Revenue,cagr,18457282043.0,0.04,0.04
2026,Revenue,cagr,19281823660.0,0.04,0.04
2027,Revenue,cagr,20143200000.0,0.04,0.04
2028,Revenue,cagr,21043056580.0,0.04,0.04
2029,Revenue,cagr,21983112426.0,0.04,0.04
2030,Revenue,cagr,22965163360.0,0.04,0.04
2031,Revenue,cagr,23991085426.0,0.04,0.04
2032,Revenue,cagr,25062838478.0,0.04,0.04
2033,Revenue,cagr,26182469922.0,0.04,0.04
2034,Revenue,cagr,27352118629.0,0.04,0.04
2025,Revenue,slope,19157500000.0,606300000.0,0.08
2026,Revenue,slope,19763800000.0,606300000.0,0.03
2027,Revenue,slope,20370100000.0,606300000.0,0.03
2028,Revenue,slope,20976400000.0,606300000.0,0.03
2029,Revenue,slope,21582700000.0,606300000.0,0.03
2030,Revenue,slope,22189000000.0,606300000.0,0.03
2031,Revenue,slope,22795300000.0,606300000.0,0.03
2032,Revenue,slope,23401600000.0,606300000.0,0.03
2033,Revenue,slope,24007900000.0,606300000.0,0.03
2034,Revenue,slope,24614200000.0,606300000.0,0.03
2025,Revenue,man_inp_growth,18904760000.0,0.07,0.07
2026,Revenue,man_inp_growth,20228093200.0,0.07,0.07
2027,Revenue,man_inp_growth,21644059724.0,0.07,0.07
2028,Revenue,man_inp_growth,23159143905.0,0.07,0.07
2029,Revenue,man_inp_growth,24780283978.0,0.07,0.07
2030,Revenue,man_inp_growth,26514903856.0,0.07,0.07
2031,Revenue,man_inp_growth,28370947126.0,0.07,0.07
2032,Revenue,man_inp_growth,30356913425.0,0.07,0.07
2033,Revenue,man_inp_growth,32481897365.0,0.07,0.07
2034,Revenue,man_inp_growth,34755630181.0,0.07,0.07
2025,EBITDA,cagr,2732456683.0,-0.04,-0.04
2026,EBITDA,cagr,2616089532.0,-0.04,-0.04
2027,EBITDA,cagr,2504678109.0,-0.04,-0.04
2028,EBITDA,cagr,2398011366.0,-0.04,-0.04
2029,EBITDA,cagr,2295887240.0,-0.04,-0.04
2030,EBITDA,cagr,2198112274.0,-0.04,-0.04
2031,EBITDA,cagr,2104501252.0,-0.04,-0.04
