Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,71363,0.0,0.02,1430,0.4871,733,3.3436,,21343,0.0344,,,,Historical calendar year
2022,73838,0.0347,0.0398,2936,0.1607,2464,3.2962,751,22401,0.11,1851,,,Historical calendar year
2023,78681,0.0656,0.0394,3103,0.2189,2424,3.7205,1302,21148,0.1146,4857,,,Historical calendar year
2024,83761,0.0646,0.0485,4063,0.1995,3253,3.5757,1421,23425,0.1389,4254,,,Historical calendar year
2025,81026,-0.0327,0.0425,3445,0.2303,2652,3.459,-791,23425,0.1132,3647,,,Historical ttm
2025,85470,0.0548,0.05,4274,0.22,3333,3.5,601,24026,0.1387,2733,0.9434,2578,Projected calendar year
2026,90158,0.0548,0.05,4508,0.22,3516,3.5,634,24660,0.1426,2882,0.89,2565,Projected calendar year
2027,95103,0.0548,0.05,4755,0.22,3709,3.5,668,25328,0.1464,3041,0.8396,2553,Projected calendar year
2028,100319,0.0548,0.05,5016,0.22,3912,3.5,705,26033,0.1503,3207,0.7921,2540,Projected calendar year
2029,105821,0.0548,0.05,5291,0.22,4127,3.5,744,26777,0.1541,3383,0.7473,2528,Projected calendar year
,,0.025,,,,,,,,,99079,0.7473,74038,Terminal value
