Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,71363,0.0,0.02,1430,0.4871,733,2.6465,,26965,0.053,,,,Historical calendar year
2022,73838,0.0347,0.0398,2936,0.1607,2464,2.4955,992,29588,0.0992,1851,,,Historical calendar year
2023,78681,0.0656,0.0394,3103,0.2189,2424,2.9368,1649,26791,0.1158,4857,,,Historical calendar year
2024,83761,0.0646,0.0485,4063,0.1995,3253,2.9555,1719,28341,0.1434,4254,,,Historical calendar year
2025,81026,-0.0327,0.0425,3445,0.2303,2652,2.859,-957,28341,0.1216,3647,,,Historical ttm
2025,84146,0.0385,0.064,5386,0.2342,4125,2.3872,1307,29648,0.1817,2818,0.9434,2658,Projected calendar year
2026,87259,0.037,0.0855,7462,0.2382,5684,1.9154,1625,31273,0.2386,4059,0.89,3612,Projected calendar year
2027,90357,0.0355,0.107,9669,0.2421,7328,1.4436,2146,33419,0.2893,5182,0.8396,4351,Projected calendar year
2028,93429,0.034,0.1285,12006,0.2461,9052,0.9718,3161,36580,0.3282,5890,0.7921,4666,Projected calendar year
2029,96465,0.0325,0.15,14470,0.25,10852,0.5,6073,42653,0.3392,4779,0.7473,3571,Projected calendar year
,,0.025,,,,,,,,,139970,0.7473,104594,Terminal value
