Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,71363,0.0,0.02,1430,0.4871,733,3.3436,,21343,0.0344,,,,Historical calendar year
2022,73838,0.0347,0.0398,2936,0.1607,2464,3.2962,751,22401,0.11,1851,,,Historical calendar year
2023,78681,0.0656,0.0394,3103,0.2189,2424,3.7205,1302,21148,0.1146,4857,,,Historical calendar year
2024,83761,0.0646,0.0485,4063,0.1995,3253,3.5757,1421,23425,0.1389,4254,,,Historical calendar year
2025,81026,-0.0327,0.0425,3445,0.2303,2652,3.459,-791,23425,0.1132,3647,,,Historical ttm
2025,85077,0.05,0.05,4254,0.22,3318,3.5,598,24023,0.1381,2720,0.9434,2566,Projected calendar year
2026,89331,0.05,0.05,4467,0.22,3484,3.5,628,24651,0.1413,2856,0.89,2542,Projected calendar year
2027,93798,0.05,0.05,4690,0.22,3658,3.5,659,25310,0.1445,2999,0.8396,2518,Projected calendar year
2028,98488,0.05,0.05,4924,0.22,3841,3.5,692,26003,0.1477,3149,0.7921,2494,Projected calendar year
2029,103412,0.05,0.05,5171,0.22,4033,3.5,727,26729,0.1509,3306,0.7473,2471,Projected calendar year
,,0.025,,,,,,,,,96823,0.7473,72352,Terminal value
