Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,71363,0.0,0.02,1430,0.4871,733,2.6465,,26965,0.053,,,,Historical calendar year
2022,73838,0.0347,0.0398,2936,0.1607,2464,2.4955,992,29588,0.0992,1851,,,Historical calendar year
2023,78681,0.0656,0.0394,3103,0.2189,2424,2.9368,1649,26791,0.1158,4857,,,Historical calendar year
2024,83761,0.0646,0.0485,4063,0.1995,3253,2.9555,1719,28341,0.1434,4254,,,Historical calendar year
2025,81026,-0.0327,0.0425,3445,0.2303,2652,2.859,-957,28341,0.1216,3647,,,Historical ttm
2025,89919,0.0735,0.064,5756,0.2342,4408,2.3872,3725,32066,0.1795,682,0.9434,644,Projected calendar year
2026,96045,0.0681,0.0855,8213,0.2382,6257,1.9154,3198,35265,0.2329,3058,0.89,2722,Projected calendar year
2027,102071,0.0627,0.107,10922,0.2421,8278,1.4436,4174,39439,0.2769,4104,0.8396,3446,Projected calendar year
2028,107925,0.0573,0.1285,13869,0.2461,10456,0.9718,6023,45463,0.3051,4433,0.7921,3511,Projected calendar year
2029,113532,0.052,0.15,17030,0.25,12772,0.5,11215,56677,0.3005,1558,0.7473,1164,Projected calendar year
,,0.025,,,,,,,,,45615,0.7473,34086,Terminal value
