Year,variable,method,value,parameter_value,growth_rate
2025,Revenue,cagr,85470055229.22499,0.05484727407529677,0.05484727407529677
2026,Revenue,cagr,90157854773.61305,0.05484727407529677,0.05484727407529677
2027,Revenue,cagr,95102767344.42221,0.05484727407529677,0.05484727407529677
2028,Revenue,cagr,100318894890.28091,0.05484727407529677,0.05484727407529677
2029,Revenue,cagr,105821112813.25903,0.05484727407529677,0.05484727407529677
2030,Revenue,cagr,111625112390.68076,0.05484727407529677,0.05484727407529677
2031,Revenue,cagr,117747445523.65823,0.05484727407529677,0.05484727407529677
2032,Revenue,cagr,124205571939.96039,0.05484727407529677,0.05484727407529677
2033,Revenue,cagr,131017908985.83038,0.05484727407529677,0.05484727407529677
2034,Revenue,cagr,138203884148.7485,0.05484727407529677,0.05484727407529677
2025,Revenue,slope,87420000000.0,4203700000.0,0.07891294152494255
2026,Revenue,slope,91623700000.0,4203700000.0,0.048086250285975796
2027,Revenue,slope,95827400000.0,4203700000.0,0.04588005068557588
2028,Revenue,slope,100031100000.0,4203700000.0,0.0438674116171367
2029,Revenue,slope,104234800000.0,4203700000.0,0.04202393055759668
2030,Revenue,slope,108438500000.0,4203700000.0,0.040329141515117684
2031,Revenue,slope,112642200000.0,4203700000.0,0.03876575201611976
2032,Revenue,slope,116845900000.0,4203700000.0,0.037319050941831744
2033,Revenue,slope,121049600000.0,4203700000.0,0.03597644418845669
2034,Revenue,slope,125253300000.0,4203700000.0,0.0347270870783547
2025,Revenue,man_inp_growth,85077300000.0,0.05,0.05
2026,Revenue,man_inp_growth,89331165000.0,0.05,0.05
2027,Revenue,man_inp_growth,93797723250.0,0.05,0.05
2028,Revenue,man_inp_growth,98487609412.5,0.05,0.05
2029,Revenue,man_inp_growth,103411989883.125,0.05,0.05
2030,Revenue,man_inp_growth,108582589377.28125,0.05,0.05
2031,Revenue,man_inp_growth,114011718846.14532,0.05,0.05
2032,Revenue,man_inp_growth,119712304788.45259,0.05,0.05
2033,Revenue,man_inp_growth,125697920027.87523,0.05,0.05
2034,Revenue,man_inp_growth,131982816029.269,0.05,0.05
2025,effective_tax_rate,5,0.22000000000000003,,2.220446049250313e-16
2026,effective_tax_rate,5,0.22000000000000003,,2.220446049250313e-16
2027,effective_tax_rate,5,0.22000000000000003,,2.220446049250313e-16
2028,effective_tax_rate,5,0.22,,0.0
2029,effective_tax_rate,5,0.22,,0.0
2025,effective_tax_rate,10,0.22,,0.0
2026,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2027,effective_tax_rate,10,0.22,,0.0
2028,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2029,effective_tax_rate,10,0.22,,0.0
2030,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2031,effective_tax_rate,10,0.22000000000000003,,2.220446049250313e-16
2032,effective_tax_rate,10,0.22,,0.0
2033,effective_tax_rate,10,0.22,,0.0
2034,effective_tax_rate,10,0.22,,0.0
2025,effective_tax_rate,cagr,0.17101350515951655,-0.25741296576632644,-0.25741296576632644
2026,effective_tax_rate,cagr,0.1269924116103104,-0.25741296576632644,-0.25741296576632644
2027,effective_tax_rate,cagr,0.09430291830788234,-0.25741296576632644,-0.25741296576632644
2028,effective_tax_rate,cagr,0.07002812442583074,-0.25741296576632644,-0.25741296576632644
2029,effective_tax_rate,cagr,0.05200197723032433,-0.25741296576632644,-0.25741296576632644
2030,effective_tax_rate,cagr,0.03861599404575356,-0.25741296576632644,-0.25741296576632644
2031,effective_tax_rate,cagr,0.028675736492421333,-0.25741296576632644,-0.25741296576632644
2032,effective_tax_rate,cagr,0.02129423011637348,-0.25741296576632644,-0.25741296576632644
2033,effective_tax_rate,cagr,0.015812819188407157,-0.25741296576632644,-0.25741296576632644
2034,effective_tax_rate,cagr,0.011742394503992596,-0.25741296576632644,-0.25741296576632644
2025,effective_tax_rate,slope,0.06535661820025218,-0.08047093486244324,-0.7162038329569491
2026,effective_tax_rate,slope,-0.01511431666219104,-0.08047093486244324,-1.2312591605624528
2027,effective_tax_rate,slope,-0.09558525152463432,-0.08047093486244324,5.32415303059939
2028,effective_tax_rate,slope,-0.17605618638707748,-0.08047093486244324,0.8418760591083878
2029,effective_tax_rate,slope,-0.25652712124952076,-0.08047093486244324,0.4570753037074182
2030,effective_tax_rate,slope,-0.33699805611196404,-0.08047093486244324,0.3136936728969495
2031,effective_tax_rate,slope,-0.4174689909744072,-0.08047093486244324,0.23878753423938903
2032,effective_tax_rate,slope,-0.4979399258368505,-0.08047093486244324,0.19275907097822387
2033,effective_tax_rate,slope,-0.5784108606992937,-0.08047093486244324,0.1616077174916266
2034,effective_tax_rate,slope,-0.658881795561737,-0.08047093486244324,0.1391241768267535
2025,effective_tax_rate,man_inp_growth,0.241808935706502,0.05,0.05
2026,effective_tax_rate,man_inp_growth,0.2538993824918271,0.05,0.05
2027,effective_tax_rate,man_inp_growth,0.2665943516164185,0.05,0.05
2028,effective_tax_rate,man_inp_growth,0.2799240691972394,0.05,0.05
2029,effective_tax_rate,man_inp_growth,0.29392027265710136,0.05,0.05
2030,effective_tax_rate,man_inp_growth,0.3086162862899564,0.05,0.05
2031,effective_tax_rate,man_inp_growth,0.32404710060445424,0.05,0.05
2032,effective_tax_rate,man_inp_growth,0.34024945563467696,0.05,0.05
2033,effective_tax_rate,man_inp_growth,0.3572619284164108,0.05,0.05
2034,effective_tax_rate,man_inp_growth,0.37512502483723137,0.05,0.05
2025,operating_margin,5,0.05000000000000001,,2.220446049250313e-16
2026,operating_margin,5,0.05,,0.0
2027,operating_margin,5,0.05,,0.0
2028,operating_margin,5,0.05,,0.0
2029,operating_margin,5,0.05,,0.0
2025,operating_margin,10,0.05,,0.0
2026,operating_margin,10,0.05000000000000001,,2.220446049250313e-16
2027,operating_margin,10,0.049999999999999996,,-1.1102230246251565e-16
2028,operating_margin,10,0.05,,0.0
2029,operating_margin,10,0.05,,0.0
2030,operating_margin,10,0.05,,0.0
2031,operating_margin,10,0.05,,0.0
2032,operating_margin,10,0.05,,0.0
2033,operating_margin,10,0.05,,0.0
2034,operating_margin,10,0.05,,0.0
2025,sales_to_capital,5,3.5000000000000004,,2.220446049250313e-16
2026,sales_to_capital,5,3.5,,0.0
2027,sales_to_capital,5,3.5,,0.0
2028,sales_to_capital,5,3.5,,0.0
2029,sales_to_capital,5,3.5,,0.0
2025,sales_to_capital,10,3.5,,0.0
2026,sales_to_capital,10,3.5000000000000004,,2.220446049250313e-16
2027,sales_to_capital,10,3.5,,0.0
2028,sales_to_capital,10,3.5,,0.0
2029,sales_to_capital,10,3.5,,0.0
2030,sales_to_capital,10,3.5,,0.0
2031,sales_to_capital,10,3.5,,0.0
2032,sales_to_capital,10,3.5,,0.0
2033,sales_to_capital,10,3.5,,0.0
2034,sales_to_capital,10,3.5,,0.0
2025,sales_to_capital,cagr,3.5372004639463133,0.02262139150325071,0.02262139150325071
2026,sales_to_capital,cagr,3.6172168604667227,0.02262139150325071,0.02262139150325071
2027,sales_to_capital,cagr,3.6990433392194997,0.02262139150325071,0.02262139150325071
2028,sales_to_capital,cagr,3.7827208467834756,0.02262139150325071,0.02262139150325071
2029,sales_to_capital,cagr,3.8682912560060725,0.02262139150325071,0.02262139150325071
2030,sales_to_capital,cagr,3.955797386956787,0.02262139150325071,0.02262139150325071
2031,sales_to_capital,cagr,4.045283028354673,0.02262139150325071,0.02262139150325071
2032,sales_to_capital,cagr,4.136792959480539,0.02262139150325071,0.02262139150325071
2033,sales_to_capital,cagr,4.230372972584839,0.02262139150325071,0.02262139150325071
2034,sales_to_capital,cagr,4.326069895802451,0.02262139150325071,0.02262139150325071
2025,sales_to_capital,slope,3.7641437713604957,0.11205540309374515,0.0882317755303188
2026,sales_to_capital,slope,3.876199174454241,0.11205540309374515,0.029769161302052094
2027,sales_to_capital,slope,3.988254577547986,0.11205540309374515,0.02890857720424589
2028,sales_to_capital,slope,4.100309980641731,0.11205540309374515,0.028096351653318363
2029,sales_to_capital,slope,4.212365383735476,0.11205540309374515,0.02732851994673058
2030,sales_to_capital,slope,4.324420786829221,0.11205540309374515,0.026601539250703743
2031,sales_to_capital,slope,4.436476189922967,0.11205540309374515,0.025912233942411378
2032,sales_to_capital,slope,4.548531593016712,0.11205540309374515,0.025257749235365612
2033,sales_to_capital,slope,4.660586996110457,0.11205540309374515,0.02463551165958311
2034,sales_to_capital,slope,4.7726423992042015,0.11205540309374515,0.024043195242844373
2025,sales_to_capital,man_inp_growth,3.6319018143009605,0.05,0.05
2026,sales_to_capital,man_inp_growth,3.8134969050160086,0.05,0.05
2027,sales_to_capital,man_inp_growth,4.004171750266809,0.05,0.05
2028,sales_to_capital,man_inp_growth,4.20438033778015,0.05,0.05
2029,sales_to_capital,man_inp_growth,4.414599354669158,0.05,0.05
2030,sales_to_capital,man_inp_growth,4.635329322402616,0.05,0.05
2031,sales_to_capital,man_inp_growth,4.8670957885227475,0.05,0.05
2032,sales_to_capital,man_inp_growth,5.110450577948885,0.05,0.05
2033,sales_to_capital,man_inp_growth,5.365973106846329,0.05,0.05
2034,sales_to_capital,man_inp_growth,5.6342717621886464,0.05,0.05
2024,FCFF,ttm,3646636396.658191,,
2024,FCF,ttm,2729000000.0,,
2024,EBIT,ttm,3445000000.0,,
2024,CapEx,ttm,652000000.0,,
2024,Depreciation And Amortization,ttm,1481000000.0,,
2024,Delta WC,ttm,-166000000.0,,
2024,Tax Provision,ttm,634000000.0,,
2024,Revenue,ttm,81026000000.0,,
2024,EBITDA,ttm,5003000000.0,,
2024,Net Income,ttm,1725000000.0,,
2024,Total Debt,ttm,18341000000.0,,
2024,Total Equity,ttm,11913000000.0,,
2024,Cash,ttm,6829000000.0,,
2024,Operating Cash Flow,ttm,3381000000.0,,
2024,Ordinary Shares Number,ttm,176448461.0,,
2024,Net Debt,ttm,11512000000.0,,
2024,Current Assets,ttm,21370000000.0,,
2024,Current Liabilities,ttm,22300000000.0,,
2024,Pretax Income,ttm,2753000000.0,,
2024,Total Assets,ttm,50641000000.0,,
2024,Interest Expense,ttm,692000000.0,,
2024,effective_tax_rate,ttm,0.23029422448238285,,
2024,ReinvestmentRate,ttm,0.6997509782995376,,
2024,capital_invested,ttm,23425000000.0,,
2024,ROCE,ttm,0.11319685791497079,,
2024,operating_margin,ttm,0.042517216695875396,,
2024,sales_to_capital,ttm,3.4589541088580575,,
2024,FCFE,ttm,3646636396.658191,,
