ticker,name,upside,horizon,proj_type,fcf_source,p_method,method_label,used_wacc,enterprise_value,terminal_value,npv,per_share_value,current_share_price,average_growth_rate
MAERSK-B.CO,A.P. Møller - Mærsk A/S,15.6776,5,standard,FCFF,cagr,Historical Cagr,0.08379278753451166,95451649743.09898,104422509277.52234,95451649743.09898,15570.1991,13460.0,-0.0252
MAERSK-B.CO,A.P. Møller - Mærsk A/S,-24.7606,5,standard,FCFF,slope,Regression Slope,0.08379278753451166,65548684582.94341,67218700584.97937,65548684582.94341,10127.2299,13460.0,-0.0929
MAERSK-B.CO,A.P. Møller - Mærsk A/S,61.1414,5,standard,FCFF,man_inp_growth,Manual Input Growth,0.08379278753451166,129070987974.93604,152660523675.18393,129070987974.93604,21689.6264,13460.0,0.0625
MAERSK-B.CO,A.P. Møller - Mærsk A/S,26.2124,5,converged,FCFF,cagr,Historical Cagr,0.08379278753451166,103241891630.3416,114554994671.87582,103241891630.3416,16988.1871,13460.0,-0.0101
MAERSK-B.CO,A.P. Møller - Mærsk A/S,-6.874,5,converged,FCFF,slope,Regression Slope,0.08379278753451166,78775320593.04636,84899577047.23277,78775320593.04636,12534.7561,13460.0,-0.055
MAERSK-B.CO,A.P. Møller - Mærsk A/S,58.8728,5,converged,FCFF,man_inp_growth,Manual Input Growth,0.08379278753451166,127393416817.58542,149757455676.90747,127393416817.58542,21384.2732,13460.0,0.0513
MAERSK-B.CO,A.P. Møller - Mærsk A/S,-6.6115,10,standard,FCFF,cagr,Historical Cagr,0.08379278753451166,78969459600.48273,87274182625.37589,78969459600.48273,12570.0935,13460.0,-0.0298
MAERSK-B.CO,A.P. Møller - Mærsk A/S,-70.5275,10,standard,FCFF,slope,Regression Slope,0.08379278753451166,31705149518.952427,12571716841.70989,31705149518.952427,3966.994,13460.0,-0.1761
MAERSK-B.CO,A.P. Møller - Mærsk A/S,84.7665,10,standard,FCFF,man_inp_growth,Manual Input Growth,0.08379278753451166,146541187949.38916,214114281690.19763,146541187949.38916,24869.5706,13460.0,0.0659
MAERSK-B.CO,A.P. Møller - Mærsk A/S,16.3781,10,converged,FCFF,cagr,Historical Cagr,0.08379278753451166,95969698841.71706,116279842853.55716,95969698841.71706,15664.4949,13460.0,0.0004
MAERSK-B.CO,A.P. Møller - Mærsk A/S,-18.8235,10,converged,FCFF,slope,Regression Slope,0.08379278753451166,69938961357.7636,79774507999.1809,69938961357.7636,10926.3527,13460.0,-0.0311
MAERSK-B.CO,A.P. Møller - Mærsk A/S,65.9255,10,converged,FCFF,man_inp_growth,Manual Input Growth,0.08379278753451166,132608751688.01108,185010309060.92624,132608751688.01108,22333.5739,13460.0,0.0434
