Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,61787,0.0,0.3162,19538,0.0372,18811,1.2586,,49091,0.398,,,,Historical calendar year
2022,81529,0.3195,0.3802,30997,0.0301,30064,1.1545,17100,70618,0.4389,18828,,,Historical calendar year
2023,51065,-0.3737,0.1005,5133,0.1041,4599,0.808,-37705,63203,0.0812,15302,,,Historical calendar year
2024,55482,0.0865,0.139,7713,0.0857,7052,0.8177,5402,67849,0.1137,7511,,,Historical calendar year
2025,56448,0.0174,,,0.0868,,0.8506,1136,66366,,,,,Historical ttm
2025,60399,0.07,0.139,8397,0.0868,7668,1.4804,2669,69035,0.1216,4999,0.9227,4613,Projected calendar year
2026,64627,0.07,0.139,8984,0.0868,8205,2.1103,2003,71038,0.1265,6201,0.8513,5279,Projected calendar year
2027,69151,0.07,0.139,9613,0.0868,8779,2.7402,1651,72689,0.1323,7128,0.7855,5599,Projected calendar year
2028,73992,0.07,0.139,10286,0.0868,9394,3.3701,1436,74126,0.1388,7957,0.7248,5767,Projected calendar year
2029,79171,0.07,0.139,11006,0.0868,10051,4.0,1295,75421,0.1459,8756,0.6687,5856,Projected calendar year
,,0.025,,,,,,,,,152645,0.6687,102080,Terminal value
