Year,FCFF,growth_rate,PV,Discount Factor,Type,EBIT,nopat,Revenue (M),reinvest
2021,,0.0,,,Historical calendar year,,,,
2022,47337000000.0,0.0,,,Historical calendar year,,,,
2023,72005000000.0,0.521114561548049,,,Historical calendar year,,,,
2024,86486000000.0,0.20111103395597518,,,Historical calendar year,,,,
2025,74476000000.0,-0.1388664061235344,,,Historical ttm,,,,
2025,88477252883.93951,0.1375,82305204042.39223,0.9302414051028065,Projected calendar year,155900062500.0,123270940383.93951,344822.8875,34793687500.0
2026,102699971994.43195,0.125,88871325435.94469,0.8653490717676436,Projected calendar year,175387570312.5,138679807931.93195,387925.7484375,35979835937.5
2027,117851702437.55554,0.11249999999999999,94868680201.95416,0.8049835364255423,Projected calendar year,195118671972.65625,154281286324.2743,431567.39513671875,36429583886.71875
2028,133684604224.27983,0.1,100106910636.83647,0.7488290160091227,Projected calendar year,214630539169.9219,169709414956.70175,474724.13465039065,36024810732.42192
2029,149885108435.45712,0.0875,104408730888.4133,0.6965917560340782,Projected calendar year,233410711347.29004,184558988765.41312,516262.4964322998,34673880329.956
2030,166079903043.82434,0.075,107619527042.14209,0.6479984939161723,Projected calendar year,250916514698.3368,198400912922.8191,554982.1836647223,32321009878.99475
2031,181846731963.8958,0.0625,109616306155.94249,0.6027950294850826,Projected calendar year,266598796866.98285,210800969980.4953,589668.5701437674,28954238016.599483
2032,196729916165.41058,0.049999999999999996,110315296226.2599,0.5607448952171908,Projected calendar year,279928736710.33203,221341018479.5201,619151.9986509557,24611102314.109528
2033,210260063600.1408,0.0375,109677561525.1457,0.5216281192310657,Projected calendar year,290426064336.9695,229641306672.5021,642370.1986003667,19381243072.361305
2034,221976979547.59808,0.025,107712126109.53001,0.4852400745746408,Projected calendar year,297686715945.3937,235382339339.3146,658429.4535653759,13405359791.716534
,4551458733395.653,0.025,2208550175216.307,0.4852400745746408,Terminal value,,,,
