Year,FCFF,growth_rate,PV,Discount Factor,Type,EBIT,nopat,Revenue (M),reinvest
2021,,0.0,,,Historical calendar year,,,,
2022,47337000000.0,0.0,,,Historical calendar year,,,,
2023,72005000000.0,0.521114561548049,,,Historical calendar year,,,,
2024,86486000000.0,0.20111103395597518,,,Historical calendar year,,,,
2025,74476000000.0,-0.1388664061235344,,,Historical ttm,,,,
2025,94987625297.32211,0.09250000000000001,88361422023.95981,0.9302414051028065,Projected calendar year,149732587500.0,118394287797.32211,331181.5425,23406662500.0
2026,104959410947.5945,0.08500000000000002,90826528836.77956,0.8653490717676436,Projected calendar year,162459857437.5,128457802260.0945,359331.9736125,23498391312.5
2027,115167152764.78311,0.07749999999999999,92707661912.65578,0.8049835364255423,Projected calendar year,175050496388.90622,138413281935.2518,387180.2015674687,23246129170.468697
2028,125478478861.91162,0.07,93961925856.48677,0.7488290160091227,Projected calendar year,187304031136.12967,148102211670.71945,414282.81567719154,22623732808.807835
2029,135744855163.15338,0.0625,94558747030.69263,0.6965917560340782,Projected calendar year,199010533082.1378,157358599900.1394,440175.491657016,21613744736.986027
2030,145804471565.56516,0.05500000000000001,94481077980.72958,0.6479984939161723,Projected calendar year,209956112401.65536,166013322894.6471,464385.1436981518,20208851329.08193
2031,155485936418.8952,0.0475,93726149628.1436,0.6027950294850826,Projected calendar year,219929027740.734,173898955732.14282,486443.43802381406,18413019313.247627
2032,164612692714.58484,0.04,92305727127.65952,0.5607448952171908,Projected calendar year,228726188850.36337,180854913961.42853,505901.17554476665,16242221246.843695
2033,173008021711.59207,0.0325,90245848977.30515,0.5216281192310657,Projected calendar year,236159789988.00018,186732698665.17496,522342.96374997153,13724676953.582895
2034,180500455397.51636,0.025,87586054437.84746,0.4852400745746408,Projected calendar year,242063784737.70016,191401016131.80432,535401.5378437208,10900560734.287949
,3701016095341.351,0.025,1795881326105.383,0.4852400745746408,Terminal value,,,,
