Year,FCFF,growth_rate,PV,Discount Factor,Type,EBIT,nopat,Revenue (M),reinvest
2021,,0.0,,,Historical calendar year,,,,
2022,47337000000.0,0.0,,,Historical calendar year,,,,
2023,72005000000.0,0.521114561548049,,,Historical calendar year,,,,
2024,86486000000.0,0.20111103395597518,,,Historical calendar year,,,,
2025,74476000000.0,-0.1388664061235344,,,Historical ttm,,,,
2025,98237148404.49992,0.09902730655576225,91384262965.09494,0.9302414051028065,Projected calendar year,141588786930.8854,111954944936.54541,319574.54564808944,13717796532.045488
2026,97560261241.68216,0.09080205027178867,84423681506.89848,0.8653490717676436,Projected calendar year,154445339079.70523,122120683474.84894,348997.2608022494,24560422233.16678
2027,107825679682.8537,0.08257679398781509,86797896948.59132,0.8049835364255423,Projected calendar year,167198940027.26828,132205017995.80269,378203.0423649188,24379338312.948994
2028,118261852855.2661,0.07435153770384151,88557906905.02457,0.7488290160091227,Projected calendar year,179630438320.74805,142034664375.95465,406682.2213931274,23772811520.688557
2029,128709962007.71805,0.06612628141986791,89658298454.0358,0.6965917560340782,Projected calendar year,191508731236.72006,151426888563.85553,433896.4790672726,22716926556.13748
2030,138994025503.62335,0.05790102513589433,90067919189.69397,0.6479984939161723,Projected calendar year,202597283097.8006,160194660644.84158,459294.26103231456,21200635141.218227
2031,148925049793.34097,0.04967576885192075,89771279781.24435,0.6027950294850826,Projected calendar year,212661458902.99408,168152453578.34662,482328.1657164237,19227403785.00564
2032,158306175825.53918,0.04145051256794717,88769379975.52615,0.5607448952171908,Projected calendar year,221476385377.9706,175122458968.72702,502473.6137130611,16816283143.18785
2033,166938664585.0982,0.03322525628397358,87079901634.47049,0.5216281192310657,Projected calendar year,228834995043.0018,180940947549.04263,519247.96633798187,14002282963.944427
2034,174628498733.06012,0.025,84736745748.08766,0.4852400745746408,Projected calendar year,234555869919.0768,185464471237.76868,532229.1654964314,10835972504.708567
,3580616365166.4956,0.025,1737458552056.5696,0.4852400745746408,Terminal value,,,,
