Year,variable,method,value,parameter_value,growth_rate
2025,FCFF,cagr,85647400000.0,0.15,0.15
2026,FCFF,cagr,98494510000.0,0.15,0.15
2027,FCFF,cagr,113268686500.0,0.15,0.15
2028,FCFF,cagr,130258989475.0,0.15,0.15
2029,FCFF,cagr,149797837896.0,0.15,0.15
2030,FCFF,cagr,172267513581.0,0.15,0.15
2031,FCFF,cagr,198107640618.0,0.15,0.15
2032,FCFF,cagr,227823786710.0,0.15,0.15
2033,FCFF,cagr,261997354717.0,0.15,0.15
2034,FCFF,cagr,301296957925.0,0.15,0.15
2025,FCFF,slope,107758333333.0,19574500000.0,0.45
2026,FCFF,slope,127332833333.0,19574500000.0,0.18
2027,FCFF,slope,146907333333.0,19574500000.0,0.15
2028,FCFF,slope,166481833333.0,19574500000.0,0.13
2029,FCFF,slope,186056333333.0,19574500000.0,0.12
2030,FCFF,slope,205630833333.0,19574500000.0,0.11
2031,FCFF,slope,225205333333.0,19574500000.0,0.1
2032,FCFF,slope,244779833333.0,19574500000.0,0.09
2033,FCFF,slope,264354333333.0,19574500000.0,0.08
2034,FCFF,slope,283928833333.0,19574500000.0,0.07
2025,FCFF,man_inp_growth,81923600000.0,0.1,0.1
2026,FCFF,man_inp_growth,90115960000.0,0.1,0.1
2027,FCFF,man_inp_growth,99127556000.0,0.1,0.1
2028,FCFF,man_inp_growth,109040311600.0,0.1,0.1
2029,FCFF,man_inp_growth,119944342760.0,0.1,0.1
2030,FCFF,man_inp_growth,131938777036.0,0.1,0.1
2031,FCFF,man_inp_growth,145132654740.0,0.1,0.1
2032,FCFF,man_inp_growth,159645920214.0,0.1,0.1
2033,FCFF,man_inp_growth,175610512235.0,0.1,0.1
2034,FCFF,man_inp_growth,193171563458.0,0.1,0.1
2025,FCF,cagr,84413392837.0,0.14,0.14
2026,FCF,cagr,95827282378.0,0.14,0.14
2027,FCF,cagr,108784491883.0,0.14,0.14
2028,FCF,cagr,123493700130.0,0.14,0.14
2029,FCF,cagr,140191802230.0,0.14,0.14
2030,FCF,cagr,159147724878.0,0.14,0.14
2031,FCF,cagr,180666757478.0,0.14,0.14
2032,FCF,cagr,205095468897.0,0.14,0.14
2033,FCF,cagr,232827289032.0,0.14,0.14
2034,FCF,cagr,264308845094.0,0.14,0.14
2025,FCF,slope,80857500000.0,7201000000.0,0.09
2026,FCF,slope,88058500000.0,7201000000.0,0.09
2027,FCF,slope,95259500000.0,7201000000.0,0.08
2028,FCF,slope,102460500000.0,7201000000.0,0.08
2029,FCF,slope,109661500000.0,7201000000.0,0.07
2030,FCF,slope,116862500000.0,7201000000.0,0.07
2031,FCF,slope,124063500000.0,7201000000.0,0.06
2032,FCF,slope,131264500000.0,7201000000.0,0.06
2033,FCF,slope,138465500000.0,7201000000.0,0.05
2034,FCF,slope,145666500000.0,7201000000.0,0.05
2025,FCF,man_inp_growth,81794900000.0,0.1,0.1
2026,FCF,man_inp_growth,89974390000.0,0.1,0.1
2027,FCF,man_inp_growth,98971829000.0,0.1,0.1
2028,FCF,man_inp_growth,108869011900.0,0.1,0.1
2029,FCF,man_inp_growth,119755913090.0,0.1,0.1
2030,FCF,man_inp_growth,131731504399.0,0.1,0.1
2031,FCF,man_inp_growth,144904654839.0,0.1,0.1
2032,FCF,man_inp_growth,159395120323.0,0.1,0.1
2033,FCF,man_inp_growth,175334632355.0,0.1,0.1
2034,FCF,man_inp_growth,192868095591.0,0.1,0.1
2025,EBIT,cagr,157613250000.0,0.15,0.15
2026,EBIT,cagr,181255237500.0,0.15,0.15
2027,EBIT,cagr,208443523125.0,0.15,0.15
2028,EBIT,cagr,239710051594.0,0.15,0.15
2029,EBIT,cagr,275666559333.0,0.15,0.15
2030,EBIT,cagr,317016543233.0,0.15,0.15
2031,EBIT,cagr,364569024718.0,0.15,0.15
2032,EBIT,cagr,419254378425.0,0.15,0.15
2033,EBIT,cagr,482142535189.0,0.15,0.15
2034,EBIT,cagr,554463915467.0,0.15,0.15
2025,EBIT,slope,151754500000.0,24416200000.0,0.11
2026,EBIT,slope,176170700000.0,24416200000.0,0.16
2027,EBIT,slope,200586900000.0,24416200000.0,0.14
2028,EBIT,slope,225003100000.0,24416200000.0,0.12
2029,EBIT,slope,249419300000.0,24416200000.0,0.11
2030,EBIT,slope,273835500000.0,24416200000.0,0.1
2031,EBIT,slope,298251700000.0,24416200000.0,0.09
2032,EBIT,slope,322667900000.0,24416200000.0,0.08
2033,EBIT,slope,347084100000.0,24416200000.0,0.08
2034,EBIT,slope,371500300000.0,24416200000.0,0.07
2025,EBIT,man_inp_growth,150760500000.0,0.1,0.1
2026,EBIT,man_inp_growth,165836550000.0,0.1,0.1
2027,EBIT,man_inp_growth,182420205000.0,0.1,0.1
2028,EBIT,man_inp_growth,200662225500.0,0.1,0.1
2029,EBIT,man_inp_growth,220728448050.0,0.1,0.1
2030,EBIT,man_inp_growth,242801292855.0,0.1,0.1
2031,EBIT,man_inp_growth,267081422141.0,0.1,0.1
2032,EBIT,man_inp_growth,293789564355.0,0.1,0.1
2033,EBIT,man_inp_growth,323168520790.0,0.1,0.1
2034,EBIT,man_inp_growth,355485372869.0,0.1,0.1
2025,CapEx,cagr,65418900000.0,0.15,0.15
2026,CapEx,cagr,75231735000.0,0.15,0.15
2027,CapEx,cagr,86516495250.0,0.15,0.15
2028,CapEx,cagr,99493969537.0,0.15,0.15
2029,CapEx,cagr,114418064968.0,0.15,0.15
2030,CapEx,cagr,131580774713.0,0.15,0.15
2031,CapEx,cagr,151317890920.0,0.15,0.15
2032,CapEx,cagr,174015574558.0,0.15,0.15
2033,CapEx,cagr,200117910742.0,0.15,0.15
2034,CapEx,cagr,230135597353.0,0.15,0.15
2025,CapEx,slope,67064500000.0,15591500000.0,0.18
2026,CapEx,slope,82656000000.0,15591500000.0,0.23
2027,CapEx,slope,98247500000.0,15591500000.0,0.19
2028,CapEx,slope,113839000000.0,15591500000.0,0.16
2029,CapEx,slope,129430500000.0,15591500000.0,0.14
2030,CapEx,slope,145022000000.0,15591500000.0,0.12
2031,CapEx,slope,160613500000.0,15591500000.0,0.11
2032,CapEx,slope,176205000000.0,15591500000.0,0.1
2033,CapEx,slope,191796500000.0,15591500000.0,0.09
2034,CapEx,slope,207388000000.0,15591500000.0,0.08
2025,CapEx,man_inp_growth,62574600000.0,0.1,0.1
2026,CapEx,man_inp_growth,68832060000.0,0.1,0.1
2027,CapEx,man_inp_growth,75715266000.0,0.1,0.1
2028,CapEx,man_inp_growth,83286792600.0,0.1,0.1
2029,CapEx,man_inp_growth,91615471860.0,0.1,0.1
2030,CapEx,man_inp_growth,100777019046.0,0.1,0.1
2031,CapEx,man_inp_growth,110854720951.0,0.1,0.1
2032,CapEx,man_inp_growth,121940193046.0,0.1,0.1
2033,CapEx,man_inp_growth,134134212350.0,0.1,0.1
2034,CapEx,man_inp_growth,147547633585.0,0.1,0.1
2025,Depreciation And Amortization,cagr,10629725456.0,0.12,0.12
2026,Depreciation And Amortization,cagr,11942824573.0,0.12,0.12
2027,Depreciation And Amortization,cagr,13418131950.0,0.12,0.12
2028,Depreciation And Amortization,cagr,15075685315.0,0.12,0.12
2029,Depreciation And Amortization,cagr,16937997672.0,0.12,0.12
2030,Depreciation And Amortization,cagr,19030363073.0,0.12,0.12
2031,Depreciation And Amortization,cagr,21381200169.0,0.12,0.12
2032,Depreciation And Amortization,cagr,24022438192.0,0.12,0.12
2033,Depreciation And Amortization,cagr,26989950615.0,0.12,0.12
2034,Depreciation And Amortization,cagr,30324042398.0,0.12,0.12
2025,Depreciation And Amortization,slope,10239000000.0,961100000.0,0.08
2026,Depreciation And Amortization,slope,11200100000.0,961100000.0,0.09
2027,Depreciation And Amortization,slope,12161200000.0,961100000.0,0.09
2028,Depreciation And Amortization,slope,13122300000.0,961100000.0,0.08
2029,Depreciation And Amortization,slope,14083400000.0,961100000.0,0.07
2030,Depreciation And Amortization,slope,15044500000.0,961100000.0,0.07
2031,Depreciation And Amortization,slope,16005600000.0,961100000.0,0.06
2032,Depreciation And Amortization,slope,16966700000.0,961100000.0,0.06
2033,Depreciation And Amortization,slope,17927800000.0,961100000.0,0.06
2034,Depreciation And Amortization,slope,18888900000.0,961100000.0,0.05
2025,Depreciation And Amortization,man_inp_growth,10407100000.0,0.1,0.1
2026,Depreciation And Amortization,man_inp_growth,11447810000.0,0.1,0.1
2027,Depreciation And Amortization,man_inp_growth,12592591000.0,0.1,0.1
2028,Depreciation And Amortization,man_inp_growth,13851850100.0,0.1,0.1
2029,Depreciation And Amortization,man_inp_growth,15237035110.0,0.1,0.1
2030,Depreciation And Amortization,man_inp_growth,16760738621.0,0.1,0.1
2031,Depreciation And Amortization,man_inp_growth,18436812483.0,0.1,0.1
2032,Depreciation And Amortization,man_inp_growth,20280493731.0,0.1,0.1
2033,Depreciation And Amortization,man_inp_growth,22308543105.0,0.1,0.1
2034,Depreciation And Amortization,man_inp_growth,24539397415.0,0.1,0.1
2025,Delta WC,cagr,,,
2026,Delta WC,cagr,,,
2027,Delta WC,cagr,,,
2028,Delta WC,cagr,,,
2029,Delta WC,cagr,,,
2030,Delta WC,cagr,,,
2031,Delta WC,cagr,,,
2032,Delta WC,cagr,,,
2033,Delta WC,cagr,,,
2034,Delta WC,cagr,,,
2025,Delta WC,slope,-42033666667.0,-13898500000.0,2.35
2026,Delta WC,slope,-55932166667.0,-13898500000.0,0.33
2027,Delta WC,slope,-69830666667.0,-13898500000.0,0.25
2028,Delta WC,slope,-83729166667.0,-13898500000.0,0.2
2029,Delta WC,slope,-97627666667.0,-13898500000.0,0.17
2030,Delta WC,slope,-111526166667.0,-13898500000.0,0.14
2031,Delta WC,slope,-125424666667.0,-13898500000.0,0.12
2032,Delta WC,slope,-139323166667.0,-13898500000.0,0.11
2033,Delta WC,slope,-153221666667.0,-13898500000.0,0.1
2034,Delta WC,slope,-167120166667.0,-13898500000.0,0.09
2025,Delta WC,man_inp_growth,-13790700000.0,0.1,0.1
2026,Delta WC,man_inp_growth,-15169770000.0,0.1,0.1
2027,Delta WC,man_inp_growth,-16686747000.0,0.1,0.1
2028,Delta WC,man_inp_growth,-18355421700.0,0.1,0.1
2029,Delta WC,man_inp_growth,-20190963870.0,0.1,0.1
2030,Delta WC,man_inp_growth,-22210060257.0,0.1,0.1
2031,Delta WC,man_inp_growth,-24431066283.0,0.1,0.1
2032,Delta WC,man_inp_growth,-26874172911.0,0.1,0.1
2033,Delta WC,man_inp_growth,-29561590202.0,0.1,0.1
2034,Delta WC,man_inp_growth,-32517749222.0,0.1,0.1
2025,Tax Provision,cagr,31844650000.0,0.15,0.15
2026,Tax Provision,cagr,36621347500.0,0.15,0.15
2027,Tax Provision,cagr,42114549625.0,0.15,0.15
2028,Tax Provision,cagr,48431732069.0,0.15,0.15
2029,Tax Provision,cagr,55696491879.0,0.15,0.15
2030,Tax Provision,cagr,64050965661.0,0.15,0.15
2031,Tax Provision,cagr,73658610510.0,0.15,0.15
2032,Tax Provision,cagr,84707402087.0,0.15,0.15
2033,Tax Provision,cagr,97413512400.0,0.15,0.15
2034,Tax Provision,cagr,112025539259.0,0.15,0.15
2025,Tax Provision,slope,31037000000.0,5209400000.0,0.12
2026,Tax Provision,slope,36246400000.0,5209400000.0,0.17
2027,Tax Provision,slope,41455800000.0,5209400000.0,0.14
2028,Tax Provision,slope,46665200000.0,5209400000.0,0.13
2029,Tax Provision,slope,51874600000.0,5209400000.0,0.11
2030,Tax Provision,slope,57084000000.0,5209400000.0,0.1
2031,Tax Provision,slope,62293400000.0,5209400000.0,0.09
2032,Tax Provision,slope,67502800000.0,5209400000.0,0.08
2033,Tax Provision,slope,72712200000.0,5209400000.0,0.08
2034,Tax Provision,slope,77921600000.0,5209400000.0,0.07
2025,Tax Provision,man_inp_growth,30460100000.0,0.1,0.1
2026,Tax Provision,man_inp_growth,33506110000.0,0.1,0.1
2027,Tax Provision,man_inp_growth,36856721000.0,0.1,0.1
2028,Tax Provision,man_inp_growth,40542393100.0,0.1,0.1
2029,Tax Provision,man_inp_growth,44596632410.0,0.1,0.1
2030,Tax Provision,man_inp_growth,49056295651.0,0.1,0.1
2031,Tax Provision,man_inp_growth,53961925216.0,0.1,0.1
2032,Tax Provision,man_inp_growth,59358117738.0,0.1,0.1
2033,Tax Provision,man_inp_growth,65293929511.0,0.1,0.1
2034,Tax Provision,man_inp_growth,71823322463.0,0.1,0.1
2025,Revenue,cagr,348612150000.0,0.15,0.15
2026,Revenue,cagr,400903972500.0,0.15,0.15
2027,Revenue,cagr,461039568375.0,0.15,0.15
2028,Revenue,cagr,530195503631.0,0.15,0.15
2029,Revenue,cagr,609724829176.0,0.15,0.15
2030,Revenue,cagr,701183553552.0,0.15,0.15
2031,Revenue,cagr,806361086585.0,0.15,0.15
2032,Revenue,cagr,927315249573.0,0.15,0.15
2033,Revenue,cagr,1066412537009.0,0.15,0.15
2034,Revenue,cagr,1226374417560.0,0.15,0.15
2025,Revenue,slope,336133500000.0,50411600000.0,0.11
2026,Revenue,slope,386545100000.0,50411600000.0,0.15
2027,Revenue,slope,436956700000.0,50411600000.0,0.13
2028,Revenue,slope,487368300000.0,50411600000.0,0.12
2029,Revenue,slope,537779900000.0,50411600000.0,0.1
2030,Revenue,slope,588191500000.0,50411600000.0,0.09
2031,Revenue,slope,638603100000.0,50411600000.0,0.09
2032,Revenue,slope,689014700000.0,50411600000.0,0.08
2033,Revenue,slope,739426300000.0,50411600000.0,0.07
2034,Revenue,slope,789837900000.0,50411600000.0,0.07
2025,Revenue,man_inp_growth,333455100000.0,0.1,0.1
2026,Revenue,man_inp_growth,366800610000.0,0.1,0.1
2027,Revenue,man_inp_growth,403480671000.0,0.1,0.1
2028,Revenue,man_inp_growth,443828738100.0,0.1,0.1
2029,Revenue,man_inp_growth,488211611910.0,0.1,0.1
