Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,23394,0.0,0.2356,5511,0.2265,4263,2.3669,,9884,0.4313,,,,Historical calendar year
2022,26463,0.1312,0.2568,6795,0.2302,5231,1.8954,1619,13962,0.3746,7205,,,Historical calendar year
2023,28136,0.0632,0.2445,6878,0.2397,5230,1.8602,899,15125,0.3458,2426,,,Historical calendar year
2024,31680,0.126,0.2439,7727,0.2453,5832,1.9183,1848,16515,0.3531,7102,,,Historical calendar year
2025,32496,0.0258,0.241,7832,0.2393,5958,1.7243,473,18846,0.3161,9138,,,Historical ttm
2025,34624,0.0655,0.36,12465,0.24,9473,1.66,1282,20128,0.4706,8191,0.9259,7584,Projected calendar year
2026,36737,0.061,0.32,11756,0.24,8934,1.62,1304,21432,0.4169,7631,0.8573,6542,Projected calendar year
2027,38812,0.0565,0.28,10867,0.24,8259,1.58,1314,22746,0.3631,6946,0.7938,5514,Projected calendar year
2028,40830,0.052,0.24,9799,0.24,7447,1.54,1311,24056,0.3096,6137,0.735,4511,Projected calendar year
2029,42770,0.0475,0.2,8554,0.24,6501,1.5,1293,25349,0.2565,5208,0.6806,3545,Projected calendar year
,,0.025,,,,,,,,,97059,0.6806,66057,Terminal value
