Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,23394,0.0,0.2356,5511,0.2265,4263,2.3669,,9884,0.4313,,,,Historical calendar year
2022,26463,0.1312,0.2568,6795,0.2302,5231,1.8954,1619,13962,0.3746,7205,,,Historical calendar year
2023,28136,0.0632,0.2445,6878,0.2397,5230,1.8602,899,15125,0.3458,2426,,,Historical calendar year
2024,31680,0.126,0.2439,7727,0.2453,5832,1.9183,1848,16515,0.3531,7102,,,Historical calendar year
2025,32496,0.0258,0.241,7832,0.2393,5958,1.7243,473,18846,0.3161,9138,,,Historical ttm
2025,34051,0.0479,0.36,12258,0.24,9316,1.66,937,19783,0.4709,8380,0.9259,7759,Projected calendar year
2026,36704,0.0779,0.32,11745,0.24,8926,1.62,1638,21420,0.4167,7289,0.8573,6249,Projected calendar year
2027,39357,0.0723,0.28,11020,0.24,8375,1.58,1679,23100,0.3626,6696,0.7938,5316,Projected calendar year
2028,42010,0.0674,0.24,10082,0.24,7663,1.54,1723,24822,0.3087,5940,0.735,4366,Projected calendar year
2029,44663,0.0632,0.2,8933,0.24,6789,1.5,1769,26591,0.2553,5020,0.6806,3417,Projected calendar year
,,0.025,,,,,,,,,93556,0.6806,63673,Terminal value
