Year,variable,method,value,parameter_value,growth_rate
2025,Revenue,cagr,35952034225.156364,0.1063526041714784,0.1063526041714784
2026,Revenue,cagr,39775626690.26386,0.1063526041714784,0.1063526041714784
2027,Revenue,cagr,44005868171.32599,0.1063526041714784,0.1063526041714784
2028,Revenue,cagr,48686006850.17328,0.1063526041714784,0.1063526041714784
2029,Revenue,cagr,53863890465.39964,0.1063526041714784,0.1063526041714784
2030,Revenue,cagr,59592455487.20216,0.1063526041714784,0.1063526041714784
2031,Revenue,cagr,65930268317.23902,0.1063526041714784,0.1063526041714784
2032,Revenue,cagr,72942124046.50171,0.1063526041714784,0.1063526041714784
2033,Revenue,cagr,80699708892.64618,0.1063526041714784,0.1063526041714784
2034,Revenue,cagr,89282333089.25931,0.1063526041714784,0.1063526041714784
2025,Revenue,slope,34051000000.0,2653100000.0,0.047852043328409755
2026,Revenue,slope,36704100000.0,2653100000.0,0.07791547972159418
2027,Revenue,slope,39357200000.0,2653100000.0,0.07228347786759515
2028,Revenue,slope,42010300000.0,2653100000.0,0.06741079141808859
2029,Revenue,slope,44663400000.0,2653100000.0,0.06315355996029548
2030,Revenue,slope,47316500000.0,2653100000.0,0.05940210552712055
2031,Revenue,slope,49969600000.0,2653100000.0,0.05607134931789126
2032,Revenue,slope,52622700000.0,2653100000.0,0.05309428132304439
2033,Revenue,slope,55275800000.0,2653100000.0,0.0504174054162938
2034,Revenue,slope,57928900000.0,2653100000.0,0.047997496191823474
2025,Revenue,man_inp_growth,34770720000.0,0.07,0.07
2026,Revenue,man_inp_growth,37204670400.0,0.07,0.07
2027,Revenue,man_inp_growth,39808997328.0,0.07,0.07
2028,Revenue,man_inp_growth,42595627140.96,0.07,0.07
2029,Revenue,man_inp_growth,45577321040.8272,0.07,0.07
2030,Revenue,man_inp_growth,48767733513.68511,0.07,0.07
2031,Revenue,man_inp_growth,52181474859.643074,0.07,0.07
2032,Revenue,man_inp_growth,55834178099.81809,0.07,0.07
2033,Revenue,man_inp_growth,59742570566.80536,0.07,0.07
2034,Revenue,man_inp_growth,63924550506.481735,0.07,0.07
2025,effective_tax_rate,5,0.24,,0.0
2026,effective_tax_rate,5,0.24,,0.0
2027,effective_tax_rate,5,0.24,,0.0
2028,effective_tax_rate,5,0.24,,0.0
2029,effective_tax_rate,5,0.24,,0.0
2025,effective_tax_rate,10,0.24,,0.0
2026,effective_tax_rate,10,0.24,,0.0
2027,effective_tax_rate,10,0.24,,0.0
