Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,1050679389.3129771,0.0,,,Historical calendar year
2022,1179354748.603352,0.12246871938214543,,,Historical calendar year
2023,1115894636.0153258,-0.05380918053976447,,,Historical calendar year
2024,1428264367.816092,0.2799276219448339,,,Historical calendar year
2025,,0.0,,,Historical ttm
2025,1582175776.723891,0.10776114868925801,1465376542.1907632,0.9261780920606835,Projected calendar year
2026,1752672855.8519766,0.10776114868925801,1503453043.2810285,0.8578058582131678,Projected calendar year
2027,1941542896.075068,0.10776114868925801,1542518928.2555954,0.794480993118349,Projected calendar year
2028,2150765788.785586,0.10776114868925801,1582599905.3713274,0.7358308903848293,Projected calendar year
2029,2382534780.746679,0.10776114868925801,1623722350.8911905,0.6815104501359351,Projected calendar year
,40702565386.98535,0.02,27739223658.57172,0.6815104501359351,Terminal value
