Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,1050679389.3129771,0.0,,,Historical calendar year
2022,1179354748.603352,0.12246871938214543,,,Historical calendar year
2023,1115894636.0153258,-0.05380918053976447,,,Historical calendar year
2024,1428264367.816092,0.2799276219448339,,,Historical calendar year
2025,,0.0,,,Historical ttm
2025,1542525517.2413795,0.08,1428653340.5135398,0.9261780920606835,Projected calendar year
2026,1665927558.6206899,0.08,1429042419.1435883,0.8578058582131678,Projected calendar year
2027,1799201763.3103452,0.08,1429431603.7350876,0.794480993118349,Projected calendar year
2028,1943137904.3751729,0.08,1429820894.3168948,0.7358308903848293,Projected calendar year
2029,2098588936.7251868,0.08,1430210290.9178755,0.6815104501359351,Projected calendar year
,35851713103.089,0.02,24433317135.030586,0.6815104501359351,Terminal value
