Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,1050679389.3129771,0.0,,,Historical calendar year
2022,1179354748.603352,0.12246871938214543,,,Historical calendar year
2023,1115894636.0153258,-0.05380918053976447,,,Historical calendar year
2024,1428264367.816092,0.2799276219448339,,,Historical calendar year
2025,,0.0,,,Historical ttm
2025,1460871991.1672664,0.022830243536099415,1353027633.5241904,0.9261780920606835,Projected calendar year
2026,1567801473.4593983,0.07319565501881731,1344869288.448708,0.8578058582131678,Projected calendar year
2027,1674730955.7515302,0.06820345821986562,1330541912.9315174,0.794480993118349,Projected calendar year
2028,1781660438.043662,0.06384875249657496,1311000786.4890928,0.7358308903848293,Projected calendar year
2029,1888589920.335794,0.060016757407233445,1287093766.7302368,0.6815104501359351,Projected calendar year
,32264147975.031094,0.02,21988354009.715862,0.6815104501359351,Terminal value
