Year,variable,method,value,parameter_value,growth_rate
2025,Revenue,cagr,4195025887.0,0.08,0.08
2026,Revenue,cagr,4517002615.0,0.08,0.08
2027,Revenue,cagr,4863691710.0,0.08,0.08
2028,Revenue,cagr,5236989894.0,0.08,0.08
2029,Revenue,cagr,5638939470.0,0.08,0.08
2030,Revenue,cagr,6071739489.0,0.08,0.08
2031,Revenue,cagr,6537757786.0,0.08,0.08
2032,Revenue,cagr,7039543930.0,0.08,0.08
2033,Revenue,cagr,7579843177.0,0.08,0.08
2034,Revenue,cagr,8161611484.0,0.08,0.08
2025,Revenue,slope,4121000000.0,201400000.0,0.06
2026,Revenue,slope,4322400000.0,201400000.0,0.05
2027,Revenue,slope,4523800000.0,201400000.0,0.05
2028,Revenue,slope,4725200000.0,201400000.0,0.04
2029,Revenue,slope,4926600000.0,201400000.0,0.04
2030,Revenue,slope,5128000000.0,201400000.0,0.04
2031,Revenue,slope,5329400000.0,201400000.0,0.04
2032,Revenue,slope,5530800000.0,201400000.0,0.04
2033,Revenue,slope,5732200000.0,201400000.0,0.04
2034,Revenue,slope,5933600000.0,201400000.0,0.04
2025,Revenue,man_inp_growth,4207680000.0,0.08,0.08
2026,Revenue,man_inp_growth,4544294400.0,0.08,0.08
2027,Revenue,man_inp_growth,4907837952.0,0.08,0.08
2028,Revenue,man_inp_growth,5300464988.0,0.08,0.08
2029,Revenue,man_inp_growth,5724502187.0,0.08,0.08
2030,Revenue,man_inp_growth,6182462362.0,0.08,0.08
2031,Revenue,man_inp_growth,6677059351.0,0.08,0.08
2032,Revenue,man_inp_growth,7211224099.0,0.08,0.08
2033,Revenue,man_inp_growth,7788122027.0,0.08,0.08
2034,Revenue,man_inp_growth,8411171789.0,0.08,0.08
2025,EBITDA,cagr,1153518270.0,0.17,0.17
2026,EBITDA,cagr,1353615869.0,0.17,0.17
2027,EBITDA,cagr,1588423841.0,0.17,0.17
2028,EBITDA,cagr,1863963297.0,0.17,0.17
2029,EBITDA,cagr,2187299815.0,0.17,0.17
2030,EBITDA,cagr,2566724617.0,0.17,0.17
2031,EBITDA,cagr,3011967182.0,0.17,0.17
2032,EBITDA,cagr,3534444734.0,0.17,0.17
2033,EBITDA,cagr,4147555011.0,0.17,0.17
2034,EBITDA,cagr,4867019818.0,0.17,0.17
2025,EBITDA,slope,1076500000.0,131600000.0,0.1
2026,EBITDA,slope,1208100000.0,131600000.0,0.12
2027,EBITDA,slope,1339700000.0,131600000.0,0.11
2028,EBITDA,slope,1471300000.0,131600000.0,0.1
2029,EBITDA,slope,1602900000.0,131600000.0,0.09
2030,EBITDA,slope,1734500000.0,131600000.0,0.08
2031,EBITDA,slope,1866100000.0,131600000.0,0.08
2032,EBITDA,slope,1997700000.0,131600000.0,0.07
2033,EBITDA,slope,2129300000.0,131600000.0,0.07
2034,EBITDA,slope,2260900000.0,131600000.0,0.06
2025,EBITDA,man_inp_growth,1061640000.0,0.08,0.08
2026,EBITDA,man_inp_growth,1146571200.0,0.08,0.08
2027,EBITDA,man_inp_growth,1238296896.0,0.08,0.08
2028,EBITDA,man_inp_growth,1337360648.0,0.08,0.08
2029,EBITDA,man_inp_growth,1444349499.0,0.08,0.08
2030,EBITDA,man_inp_growth,1559897459.0,0.08,0.08
2031,EBITDA,man_inp_growth,1684689256.0,0.08,0.08
2032,EBITDA,man_inp_growth,1819464397.0,0.08,0.08
2033,EBITDA,man_inp_growth,1965021548.0,0.08,0.08
2034,EBITDA,man_inp_growth,2122223272.0,0.08,0.08
2025,Net Income,cagr,670917896.0,0.22,0.22
2026,Net Income,cagr,818419679.0,0.22,0.22
2027,Net Income,cagr,998349835.0,0.22,0.22
2028,Net Income,cagr,1217837765.0,0.22,0.22
2029,Net Income,cagr,1485580275.0,0.22,0.22
2030,Net Income,cagr,1812186169.0,0.22,0.22
2031,Net Income,cagr,2210596604.0,0.22,0.22
2032,Net Income,cagr,2696597860.0,0.22,0.22
2033,Net Income,cagr,3289446842.0,0.22,0.22
2034,Net Income,cagr,4012634099.0,0.22,0.22
2025,Net Income,slope,593000000.0,85700000.0,0.08
2026,Net Income,slope,678700000.0,85700000.0,0.14
2027,Net Income,slope,764400000.0,85700000.0,0.13
2028,Net Income,slope,850100000.0,85700000.0,0.11
2029,Net Income,slope,935800000.0,85700000.0,0.1
2030,Net Income,slope,1021500000.0,85700000.0,0.09
2031,Net Income,slope,1107200000.0,85700000.0,0.08
2032,Net Income,slope,1192900000.0,85700000.0,0.08
2033,Net Income,slope,1278600000.0,85700000.0,0.07
2034,Net Income,slope,1364300000.0,85700000.0,0.07
2025,Net Income,man_inp_growth,594000000.0,0.08,0.08
2026,Net Income,man_inp_growth,641520000.0,0.08,0.08
2027,Net Income,man_inp_growth,692841600.0,0.08,0.08
2028,Net Income,man_inp_growth,748268928.0,0.08,0.08
2029,Net Income,man_inp_growth,808130442.0,0.08,0.08
2030,Net Income,man_inp_growth,872780878.0,0.08,0.08
2031,Net Income,man_inp_growth,942603348.0,0.08,0.08
