Year,variable,method,value,parameter_value,growth_rate
2025,Revenue,cagr,46805000000.0,0.15,0.15
2026,Revenue,cagr,53825750000.0,0.15,0.15
2027,Revenue,cagr,61899612500.0,0.15,0.15
2028,Revenue,cagr,71184554375.0,0.15,0.15
2029,Revenue,cagr,81862237531.0,0.15,0.15
2030,Revenue,cagr,94141573161.0,0.15,0.15
2031,Revenue,cagr,108262809135.0,0.15,0.15
2032,Revenue,cagr,124502230505.0,0.15,0.15
2033,Revenue,cagr,143177565081.0,0.15,0.15
2034,Revenue,cagr,164654199843.0,0.15,0.15
2025,Revenue,slope,48409000000.0,5535400000.0,0.19
2026,Revenue,slope,53944400000.0,5535400000.0,0.11
2027,Revenue,slope,59479800000.0,5535400000.0,0.1
2028,Revenue,slope,65015200000.0,5535400000.0,0.09
2029,Revenue,slope,70550600000.0,5535400000.0,0.09
2030,Revenue,slope,76086000000.0,5535400000.0,0.08
2031,Revenue,slope,81621400000.0,5535400000.0,0.07
2032,Revenue,slope,87156800000.0,5535400000.0,0.07
2033,Revenue,slope,92692200000.0,5535400000.0,0.06
2034,Revenue,slope,98227600000.0,5535400000.0,0.06
2025,Revenue,man_inp_growth,42735000000.0,0.05,0.05
2026,Revenue,man_inp_growth,44871750000.0,0.05,0.05
2027,Revenue,man_inp_growth,47115337500.0,0.05,0.05
2028,Revenue,man_inp_growth,49471104375.0,0.05,0.05
2029,Revenue,man_inp_growth,51944659594.0,0.05,0.05
2030,Revenue,man_inp_growth,54541892573.0,0.05,0.05
2031,Revenue,man_inp_growth,57268987202.0,0.05,0.05
2032,Revenue,man_inp_growth,60132436562.0,0.05,0.05
2033,Revenue,man_inp_growth,63139058390.0,0.05,0.05
2034,Revenue,man_inp_growth,66296011310.0,0.05,0.05
2025,EBITDA,cagr,,,
2026,EBITDA,cagr,,,
2027,EBITDA,cagr,,,
2028,EBITDA,cagr,,,
2029,EBITDA,cagr,,,
2030,EBITDA,cagr,,,
2031,EBITDA,cagr,,,
2032,EBITDA,cagr,,,
2033,EBITDA,cagr,,,
2034,EBITDA,cagr,,,
2025,EBITDA,slope,,,
2026,EBITDA,slope,,,
2027,EBITDA,slope,,,
2028,EBITDA,slope,,,
2029,EBITDA,slope,,,
2030,EBITDA,slope,,,
2031,EBITDA,slope,,,
2032,EBITDA,slope,,,
2033,EBITDA,slope,,,
2034,EBITDA,slope,,,
2025,EBITDA,man_inp_growth,,0.05,0.05
2026,EBITDA,man_inp_growth,,0.05,0.05
2027,EBITDA,man_inp_growth,,0.05,0.05
2028,EBITDA,man_inp_growth,,0.05,0.05
2029,EBITDA,man_inp_growth,,0.05,0.05
2030,EBITDA,man_inp_growth,,0.05,0.05
2031,EBITDA,man_inp_growth,,0.05,0.05
2032,EBITDA,man_inp_growth,,0.05,0.05
2033,EBITDA,man_inp_growth,,0.05,0.05
2034,EBITDA,man_inp_growth,,0.05,0.05
2025,Net Income,cagr,5821774103.0,0.15,0.15
2026,Net Income,cagr,6666611665.0,0.15,0.15
2027,Net Income,cagr,7634049398.0,0.15,0.15
2028,Net Income,cagr,8741878656.0,0.15,0.15
2029,Net Income,cagr,10010472613.0,0.15,0.15
2030,Net Income,cagr,11463160940.0,0.15,0.15
2031,Net Income,cagr,13126658830.0,0.15,0.15
2032,Net Income,cagr,15031558307.0,0.15,0.15
