Year,FCFF,growth_rate,PV,Discount Factor,Type,EBIT,nopat,Revenue (M),reinvest
2021,,0.0,,,Historical calendar year,,,,
2022,-1191000000.0,0.0,,,Historical calendar year,,,,
2023,-576000000.0,-0.5163727959697733,,,Historical calendar year,,,,
2024,689000000.0,-2.1961805555555554,,,Historical calendar year,,,,
2025,75000000.0,-0.8911465892597968,,,Historical ttm,,,,
2025,1361254546.5525756,-0.044747706422018356,1231665309.2777672,0.904801612892315,Projected calendar year,858771811.9266056,603347637.7550447,16572.530595343436,-757906908.7975308
2026,866888284.5811388,-0.03699796126401632,709691928.5759447,0.8186659586925344,Projected calendar year,826999005.6943159,581025005.2246479,16003.196988412708,-285863279.356491
2027,780458344.4263272,-0.029248216106014274,578109127.8743088,0.7407302798450385,Projected calendar year,802810760.0563097,564031060.3088393,15572.154125607067,-216427284.1174879
2028,704493410.9003738,-0.02149847094801223,472161313.0225254,0.6702139519219666,Projected calendar year,785551556.2544875,551905254.9450132,15268.255123956573,-152588155.95536068
2029,637049964.0886693,-0.013748725790010196,386313892.1586082,0.6064106646819278,Projected calendar year,774751223.3136288,544317260.9327085,15083.56597994665,-92732703.15596074
2030,576473289.5475194,-0.005998980632008159,316300141.29476285,0.5486813474793091,Projected calendar year,770103505.7303456,541051912.2267054,15013.019736449023,-35421377.320813954
2031,521328072.84103465,0.0017507645259938788,258812158.24275774,0.4964477681632075,Projected calendar year,771451775.6295218,541999166.7213532,15054.188887186321,20671093.88031855
2032,470340487.66315395,0.009500509683995928,211270710.9787866,0.44918674135086023,Projected calendar year,778780960.694626,547148435.0535071,15207.161825253548,76807947.39035316
2033,422348428.1797155,0.017250254841997964,171652912.64699006,0.40642488806410143,Projected calendar year,792215130.7327043,556586884.9945804,15474.515033330032,134238456.8148649
2034,376257112.38489807,0.025,138362493.17278746,0.36773389423997754,Projected calendar year,812020509.0010219,570501557.119445,15861.377909163282,194244444.7345469
,4807893933.346898,0.025,1768025559.2024179,0.36773389423997754,Terminal value,,,,
