Year,FCFF,growth_rate,PV,Discount Factor,Type,EBIT,nopat,Revenue (M),reinvest
2021,,0.0,,,Historical calendar year,,,,
2022,-1191000000.0,0.0,,,Historical calendar year,,,,
2023,-576000000.0,-0.5163727959697733,,,Historical calendar year,,,,
2024,689000000.0,-2.1961805555555554,,,Historical calendar year,,,,
2025,75000000.0,-0.8911465892597968,,,Historical ttm,,,,
2025,1099658485.2400265,-0.05249745158002039,994972771.0758959,0.904801612892315,Projected calendar year,929500000.0,653039167.6866584,17192.5,-446619317.55336803
2026,620490810.813299,0.4130177514792899,507974704.4943774,0.8186659586925344,Projected calendar year,1313400000.0,922755936.3525091,17794.5,302265125.53921026
2027,890207579.4791493,0.2922948073701843,659403709.4677646,0.7407302798450385,Projected calendar year,1697300000.0,1192472705.0183597,18396.5,302265125.53921026
2028,1159924348.145,0.22618276085547628,777397481.3007715,0.6702139519219666,Projected calendar year,2081200000.0,1462189473.6842103,18998.5,302265125.53921026
2029,1429641116.8108506,0.18446088794925997,866949619.9018816,0.6064106646819278,Projected calendar year,2465100000.0,1731906242.350061,19600.5,302265125.53921026
2030,1699357885.4767013,0.15573404730031237,932405974.4529458,0.5486813474793091,Projected calendar year,2849000000.0,2001623011.0159116,20202.5,302265125.53921026
2031,1969074654.142552,0.13474903474903477,977542717.3958097,0.4964477681632075,Projected calendar year,3232900000.0,2271339779.681762,20804.5,302265125.53921026
2032,2238791422.8084025,0.11874787342633542,1005635423.7755623,0.44918674135086023,Projected calendar year,3616800000.0,2541056548.347613,21406.5,302265125.53921026
2033,2508508191.474253,0.10614355231143557,1019520160.9278048,0.40642488806410143,Projected calendar year,4000700000.0,2810773317.0134635,22008.5,302265125.53921026
2034,2778224960.140104,0.09595820731372018,1021647483.6670268,0.36773389423997754,Projected calendar year,4384600000.0,3080490085.679314,22610.5,302265125.53921026
,35500753319.09304,0.025,13054830266.482891,0.36773389423997754,Terminal value,,,,
