Year,variable,method,value,parameter_value,growth_rate
2025,FCFF,cagr,,,
2026,FCFF,cagr,,,
2027,FCFF,cagr,,,
2028,FCFF,cagr,,,
2029,FCFF,cagr,,,
2030,FCFF,cagr,,,
2031,FCFF,cagr,,,
2032,FCFF,cagr,,,
2033,FCFF,cagr,,,
2034,FCFF,cagr,,,
2025,FCFF,slope,1520666667.0,940000000.0,19.28
2026,FCFF,slope,2460666667.0,940000000.0,0.62
2027,FCFF,slope,3400666667.0,940000000.0,0.38
2028,FCFF,slope,4340666667.0,940000000.0,0.28
2029,FCFF,slope,5280666667.0,940000000.0,0.22
2030,FCFF,slope,6220666667.0,940000000.0,0.18
2031,FCFF,slope,7160666667.0,940000000.0,0.15
2032,FCFF,slope,8100666667.0,940000000.0,0.13
2033,FCFF,slope,9040666667.0,940000000.0,0.12
2034,FCFF,slope,9980666667.0,940000000.0,0.1
2025,FCFF,man_inp_growth,82500000.0,0.1,0.1
2026,FCFF,man_inp_growth,90750000.0,0.1,0.1
2027,FCFF,man_inp_growth,99825000.0,0.1,0.1
2028,FCFF,man_inp_growth,109807500.0,0.1,0.1
2029,FCFF,man_inp_growth,120788250.0,0.1,0.1
2030,FCFF,man_inp_growth,132867075.0,0.1,0.1
2031,FCFF,man_inp_growth,146153783.0,0.1,0.1
2032,FCFF,man_inp_growth,160769161.0,0.1,0.1
2033,FCFF,man_inp_growth,176846077.0,0.1,0.1
2034,FCFF,man_inp_growth,194530685.0,0.1,0.1
2025,FCF,cagr,2128650000.0,0.15,0.15
2026,FCF,cagr,2447947500.0,0.15,0.15
2027,FCF,cagr,2815139625.0,0.15,0.15
2028,FCF,cagr,3237410569.0,0.15,0.15
2029,FCF,cagr,3723022154.0,0.15,0.15
2030,FCF,cagr,4281475477.0,0.15,0.15
2031,FCF,cagr,4923696799.0,0.15,0.15
2032,FCF,cagr,5662251319.0,0.15,0.15
2033,FCF,cagr,6511589016.0,0.15,0.15
2034,FCF,cagr,7488327369.0,0.15,0.15
2025,FCF,slope,1184500000.0,432000000.0,-0.36
2026,FCF,slope,1616500000.0,432000000.0,0.36
2027,FCF,slope,2048500000.0,432000000.0,0.27
2028,FCF,slope,2480500000.0,432000000.0,0.21
2029,FCF,slope,2912500000.0,432000000.0,0.17
2030,FCF,slope,3344500000.0,432000000.0,0.15
2031,FCF,slope,3776500000.0,432000000.0,0.13
2032,FCF,slope,4208500000.0,432000000.0,0.11
2033,FCF,slope,4640500000.0,432000000.0,0.1
2034,FCF,slope,5072500000.0,432000000.0,0.09
2025,FCF,man_inp_growth,2036100000.0,0.1,0.1
2026,FCF,man_inp_growth,2239710000.0,0.1,0.1
2027,FCF,man_inp_growth,2463681000.0,0.1,0.1
2028,FCF,man_inp_growth,2710049100.0,0.1,0.1
2029,FCF,man_inp_growth,2981054010.0,0.1,0.1
2030,FCF,man_inp_growth,3279159411.0,0.1,0.1
2031,FCF,man_inp_growth,3607075352.0,0.1,0.1
2032,FCF,man_inp_growth,3967782887.0,0.1,0.1
2033,FCF,man_inp_growth,4364561176.0,0.1,0.1
2034,FCF,man_inp_growth,4801017294.0,0.1,0.1
2025,EBIT,cagr,1128150000.0,0.15,0.15
2026,EBIT,cagr,1297372500.0,0.15,0.15
2027,EBIT,cagr,1491978375.0,0.15,0.15
2028,EBIT,cagr,1715775131.0,0.15,0.15
2029,EBIT,cagr,1973141401.0,0.15,0.15
2030,EBIT,cagr,2269112611.0,0.15,0.15
2031,EBIT,cagr,2609479503.0,0.15,0.15
2032,EBIT,cagr,3000901428.0,0.15,0.15
2033,EBIT,cagr,3451036642.0,0.15,0.15
2034,EBIT,cagr,3968692139.0,0.15,0.15
2025,EBIT,slope,929500000.0,383900000.0,-0.05
2026,EBIT,slope,1313400000.0,383900000.0,0.41
2027,EBIT,slope,1697300000.0,383900000.0,0.29
2028,EBIT,slope,2081200000.0,383900000.0,0.23
2029,EBIT,slope,2465100000.0,383900000.0,0.18
2030,EBIT,slope,2849000000.0,383900000.0,0.16
2031,EBIT,slope,3232900000.0,383900000.0,0.13
2032,EBIT,slope,3616800000.0,383900000.0,0.12
2033,EBIT,slope,4000700000.0,383900000.0,0.11
2034,EBIT,slope,4384600000.0,383900000.0,0.1
