date,FCFF,FCF,EBIT,CapEx,Depreciation And Amortization,Delta WC,Tax Provision,Revenue,EBITDA,Net Income,Total Debt,Total Equity,Cash,Operating Cash Flow,Dividends,Ordinary Shares Number,Net Debt,Current Assets,Current Liabilities,Pretax Income,Total Assets,Interest Expense,WorkingCapital,ttm,effective_tax_rate,ReinvestmentRate,capital_invested,ROCE,operating_margin,sales_to_capital,FCFE,ticker,share_price,company_name,company_sector,company_industry,EPS,EPS Growth Rate,PE Ratio,PEG Ratio,book_value,book_value_per_share,PB Ratio,graham_number,p_to_graham,dividends_per_share,dividend_yield,dividend_payout_ratio,debt_to_equity,current_ratio,interest_coverage,fcf_per_share,fcf_yield,market_cap,revenue_growth_pct,ebit_growth_pct,net_income_growth_pct,fcf_growth_pct,roce_trend_pct,cagr_revenue,cagr_ebit,cagr_net_income,cagr_fcf,cagr_eps
2025-08-03,,8186000000.0,,4893000000.0,,1518000000.0,687000000.0,56448000000.0,,7094000000.0,17039000000.0,56455000000.0,7128000000.0,13079000000.0,,15515868.0,9911000000.0,32499000000.0,15166000000.0,7918000000.0,86965000000.0,,,1,0.08676433442788584,,66366000000.0,,,0.8505560075942501,,MAERSK-B.CO,12720.0,A.P. Møller - Mærsk A/S B,Industrials,Industrial Goods,457.20935496486567,17.566457288075178,27.820953053284466,1.5837543448314109,69926000000.0,4506.741098854412,2.822438591654034,6808.9495733938065,1.8681295643169127,,,,0.24367188170351514,2.1428854015561125,,527.5889173586679,0.04147711614454937,197361840960.0,1.7411052233156754,0.0,16.123751841545264,13.584015540446792,0.0,-0.022339964646191368,-0.26641956146666523,-0.20703305698233165,-0.19031332887642882,-0.16908630095296495
2025-08-03,-74744292.23744297,410000000.0,475000000.0,323000000.0,359000000.0,512000000.0,68000000.0,5834000000.0,834000000.0,370000000.0,554000000.0,5914000000.0,640000000.0,733000000.0,,266389799.0,-86000000.0,2891000000.0,1003000000.0,438000000.0,7414000000.0,37000000.0,,1,0.1552511415525114,2.9336609336609336,5828000000.0,0.06884964100249778,0.08141926636955776,1.0010295126973232,-74744292.23744297,AMBU-B.CO,92.0,Ambu A/S B,Health Care,Medical Devices,1.3889420743171925,57.446808510638306,66.23746353513513,1.1530225133893892,6860000000.0,25.75173683734038,3.572574563848397,28.36851410548031,3.243032033962864,,,,0.08075801749271137,2.8823529411764706,12.837837837837839,1.5390979742433757,0.016729325806993215,24507861508.0,8.217399369319246,45.2599388379205,57.446808510638306,-21.75572519083969,48.82703971533484,0.09805556234999768,0.0920355729618143,0.10630835612990852,,0.09292073007323176
2025-08-03,-755724500.0,-921104000.0,1377218000.0,2048658000.0,634828000.0,374808000.0,-6141000.0,6231324000.0,2012046000.0,1321187000.0,116959000.0,11556393000.0,691509000.0,1127554000.0,,78570622.0,-574550000.0,5078084000.0,1807394000.0,1315046000.0,13552982000.0,62172000.0,,1,0.25,2.2107739205802686,10981843000.0,0.09405648031937809,0.22101530910605835,0.5674206050842285,-755724500.0,BAVA.CO,235.60000610351562,Bavarian Nordic A/S,Health Care,Biotechnology,16.815279889218644,33.72649363294893,14.011066580852688,0.4154320556811351,13436023000.0,171.00568454199077,1.3777320136142235,254.35986335303102,0.9262467867287764,,,,0.008704882389677362,2.8096164975650026,22.151740333268997,-11.723262162796674,-0.04975917597237167,18511239022.75702,9.011536673100995,31.260001391497937,33.72649363294895,-451.3049447929976,18.48853860452804,0.3461026586822189,,,,
2025-08-03,11165220486.632622,6282000000.0,11427000000.0,5030000000.0,4370000000.0,-2666000000.0,1982000000.0,75011000000.0,15797000000.0,9116000000.0,38140000000.0,30612000000.0,11542000000.0,11312000000.0,,132078587.0,24475000000.0,26347000000.0,46045000000.0,9987000000.0,113328000000.0,1440000000.0,,1,0.1984579953940122,0.7129698253043939,57210000000.0,0.16009824308045134,0.15233765714361894,1.3111518965215871,11165220486.632622,CARL-B.CO,824.5999755859375,Carlsberg A/S B,Consumer Staples,Food,69.01951487412566,0.0,11.9473452847329,inf,75188000000.0,569.2671439617991,1.4485290154762078,940.232523089637,0.8770170732621257,,,,0.5072617970952812,0.5722011076121186,7.935416666666667,47.562592413257725,0.057679594738601694,108911999615.62512,0.0,0.0,0.0,0.0,0.0,0.05698309299903426,0.007443742280406118,0.07421659042701201,-0.0693673628921353,0.09363764198491187
2025-08-03,-1570329226.9787502,4873000000.0,7321000000.0,1414000000.0,1335000000.0,6614000000.0,1950000000.0,27794000000.0,8656000000.0,4544000000.0,24264000000.0,16942000000.0,729000000.0,6287000000.0,,225366796.0,22509000000.0,10467000000.0,10967000000.0,6494000000.0,49152000000.0,827000000.0,,1,0.300277178934401,1.743250791286539,40477000000.0,0.12655757029970727,0.26340217313089154,0.6866615608864294,-1570329226.9787502,COLO-B.CO,593.4000244140625,Coloplast A/S B,Health Care,Medical Devices,20.162686254811025,-10.067931883410763,29.430603487790282,-2.9232024837478274,24888000000.0,110.43330446957235,5.373379228886172,223.82855398115578,2.6511363892563105,,,,0.9749276759884281,0.9544086805872162,8.852478839177751,21.622528635496064,0.036438368294383995,133732662248.51904,2.826489086200512,1.8219749652294892,-10.055423594615998,243.16901408450704,-11.359137173681177,0.09368414738401487,0.04000089252960248,-0.014888812374977967,0.10035760421901996,-0.028917770598240522
2025-08-03,,-96926000000.0,,2516000000.0,,,7529000000.0,56319000000.0,,23372000000.0,1118727000000.0,172770000000.0,219547000000.0,-94410000000.0,24016000000.0,824856754.0,895553000000.0,,,30900000000.0,3739632000000.0,42742000000.0,,1,0.2436569579288026,,1071950000000.0,,,0.05253883110219693,,DANSKE.CO,254.89999389648438,Danske Bank A/S,Financials,Banks,28.33461675213488,-0.013132131621018672,8.996062876949937,-685.0420888678318,2620905000000.0,3177.406243314824,0.08022266414084979,1423.2667472504017,0.17909502515176703,29.115358374091702,0.11422267191546318,1.0275543385247303,0.42684759653631094,,,-117.50646343134629,-0.46099045211851203,210255981560.0739,-0.1701675086413168,,-1.0876465360362242,2.319247537712843,,0.04427623671283265,,0.1597338702334561,,0.16962277503428047
2025-08-03,2751423035.522066,3301000000.0,4368000000.0,779000000.0,1435000000.0,1304000000.0,824000000.0,22419000000.0,5803000000.0,2387000000.0,15681000000.0,9644000000.0,1112000000.0,4080000000.0,,213014319.0,11798000000.0,9921000000.0,6095000000.0,3716000000.0,32450000000.0,652000000.0,,1,0.2217438105489774,0.9926636568848759,24213000000.0,0.1403966065965418,0.1948347383915429,0.9259075703134679,2751423035.522066,DEMANT.CO,244.8000030517578,Demant A/S,Health Care,Medical Devices,11.205819454794492,0.0,21.84579218318731,inf,16769000000.0,78.72240738896055,3.109661037704581,140.88418788341053,1.737597431830628,,,,0.9351183731886219,1.6277276456111567,6.699386503067485,15.496610817040896,0.06330314797326397,52145905941.26811,0.0,0.0,0.0,0.0,0.0,0.05781684336896298,0.051728404822245055,-0.01277764161177286,0.03586809726834095,0.006487792499948464
2025-08-03,-66487544127.30856,14595000000.0,16361000000.0,2143000000.0,6691000000.0,83263000000.0,3461000000.0,191272000000.0,23052000000.0,10160000000.0,108138000000.0,113926000000.0,16422000000.0,16738000000.0,,235485523.0,62830000000.0,89158000000.0,93119000000.0,13699000000.0,299781000000.0,2662000000.0,,1,0.25264617855317906,7.139302325581395,205642000000.0,0.05945991515688156,0.08553787276757706,0.9301212787271083,-66487544127.30856,DSV.CO,1435.5,DSV A/S,Industrials,Transportation,43.14490279727302,0.2736037945066272,33.27160120733268,121.60504304163362,191643000000.0,813.8207290135623,1.7639019858095522,888.8334295992474,1.6150382649842847,,,,0.564267935692929,0.957463031175163,6.146130728775357,61.97833231557084,0.043175431776782194,338039468266.5,14.461479539932732,6.274764533939581,0.5045009397566469,58.26284970722186,-41.13535386906187,0.01207479497434738,0.00837807101592647,-0.02417832204530712,0.08022060498183547,-0.025512817491556206
2025-08-03,16145667103.395567,7509000000.0,9280000000.0,330000000.0,416000000.0,-8109000000.0,1312000000.0,21638000000.0,9696000000.0,7847000000.0,143000000.0,5296000000.0,1619000000.0,7839000000.0,,63342626.0,-1476000000.0,4037000000.0,756000000.0,9159000000.0,6586000000.0,121000000.0,,1,0.14324707937547768,-0.9240712851405622,3820000000.0,2.0813264668574787,0.4288751270912284,5.664397905759162,16145667103.395567,GMAB.CO,1387.0,Genmab A/S,Health Care,Biotechnology,123.88182327647736,0.35024510241890017,11.19615423244552,31.96662610018368,6443000000.0,101.7166544374084,13.635918401676237,532.4650258082823,2.6048659212772387,,,,0.02219462983082415,5.33994708994709,76.69421487603306,118.5457641115163,0.08546918825632034,87856222262.0,0.5203010313109768,-0.04308487720809939,0.038245792962765535,0.5624748895138643,629.8916116340936,0.26623684743867915,0.23954196100358782,0.27633030745907816,0.3962037207297562,0.2881335859818688
2025-08-03,-5496659010.600706,820000000.0,1461000000.0,1393000000.0,1393000000.0,6635000000.0,250000000.0,17668000000.0,2854000000.0,805000000.0,11771000000.0,10752000000.0,787000000.0,2213000000.0,,145613000.0,10535000000.0,8889000000.0,7893000000.0,1132000000.0,29943000000.0,329000000.0,,1,0.22084805653710246,7.779521056977704,21736000000.0,0.05237122696905103,0.08269187231152365,0.812845049687155,-5496659010.600706,GN.CO,91.0,GN Store Nord A/S,Health Care,Medical Devices,5.52835255093982,-18.52226720647773,16.4606,-0.8886925027322407,18172000000.0,124.79654975860672,0.7291868258859784,124.59207356267025,0.7303835420495404,,,,0.647754787585296,1.1261877613074875,4.4407294832826745,5.631365331392114,0.061883135509803455,13250783000.0,-1.7625799277175447,-16.034482758620694,-18.52226720647774,-37.925813777441334,-17.488044218088948,0.028737344722080227,-0.11316549838521206,-0.17715536435015744,0.08669866010325689,-0.20369232304457907
